,Datetime,Open,High,Low,Close,Adj Close,Volume,Stock,Open Rolling Mean 50 days,Open Rolling Mean 200 days,Open Rolling Mean 10 days,Open Rolling Mean 40 days,rsi,MB,UB,LB,TR,ATR,macd,signal,di+,di-,adx,%K,%D,RSI_Strength,Bollinger_Strength,ADX_Strength,RM Signal,RM_Trend,MACD_Trend,ATR_Signal,ATR_Trend,ADX_Signal,ADX_Trend,Stochastic_Signal
0,2023-12-04 09:15:00+05:30,4419.9501953125,4490.0,4419.9501953125,4489.35009765625,4489.35009765625,0,ABB.NS,,,,,,,,,,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
1,2023-12-04 09:16:00+05:30,4480.2001953125,4488.4501953125,4465.89990234375,4465.89990234375,4465.89990234375,3457,ABB.NS,,,,,,,,,23.4501953125,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
2,2023-12-04 09:17:00+05:30,4460.0,4471.7998046875,4457.35009765625,4470.4501953125,4470.4501953125,4031,ABB.NS,,,,,,,,,14.44970703125,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
3,2023-12-04 09:18:00+05:30,4470.5,4489.75,4470.10009765625,4489.75,4489.75,2794,ABB.NS,,,,,,,,,19.64990234375,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
4,2023-12-04 09:19:00+05:30,4495.75,4507.7001953125,4495.75,4500.14990234375,4500.14990234375,8377,ABB.NS,,,,,,,,,17.9501953125,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
5,2023-12-04 09:20:00+05:30,4501.2998046875,4506.4501953125,4495.60009765625,4506.4501953125,4506.4501953125,6352,ABB.NS,,,,,,,,,10.85009765625,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
6,2023-12-04 09:21:00+05:30,4494.10009765625,4497.7998046875,4494.10009765625,4496.7998046875,4496.7998046875,5460,ABB.NS,,,,,,,,,12.35009765625,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
7,2023-12-04 09:22:00+05:30,4496.9501953125,4500.0,4494.39990234375,4498.0,4498.0,1039,ABB.NS,,,,,,,,,5.60009765625,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
8,2023-12-04 09:23:00+05:30,4512.0,4521.0,4512.0,4521.0,4521.0,8985,ABB.NS,,,,,,,,,23.0,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
9,2023-12-04 09:24:00+05:30,4523.5,4546.9501953125,4522.89990234375,4537.2001953125,4537.2001953125,7703,ABB.NS,,,4485.425048828125,,,,,,25.9501953125,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
10,2023-12-04 09:25:00+05:30,4538.75,4548.85009765625,4538.75,4546.64990234375,4546.64990234375,6213,ABB.NS,,,4497.305029296875,,,,,,11.64990234375,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
11,2023-12-04 09:26:00+05:30,4546.2001953125,4569.0,4542.0498046875,4569.0,4569.0,7825,ABB.NS,,,4503.905029296875,,,,,,26.9501953125,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
12,2023-12-04 09:27:00+05:30,4563.75,4568.4501953125,4551.7001953125,4561.0,4561.0,6659,ABB.NS,,,4514.280029296875,,,,,,17.2998046875,,,,,,,,, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
13,2023-12-04 09:28:00+05:30,4561.0,4566.0,4555.4501953125,4566.0,4566.0,3599,ABB.NS,,,4523.330029296875,,77.93410794343106,4515.550013950893,4582.662257081838,4448.437770819948,10.5498046875,,,,,,,97.98724996232646,,Overbought,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
14,2023-12-04 09:29:00+05:30,4565.85009765625,4578.85009765625,4565.85009765625,4574.0,4574.0,7421,ABB.NS,,,4530.3400390625,,79.63168518214488,4521.596435546875,4593.274928796544,4449.917942297206,13.0,16.439584010468646,,,,,,96.0081500771605,,Overbought,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
15,2023-12-04 09:30:00+05:30,4577.2001953125,4581.0,4568.75,4577.7998046875,4577.7998046875,8182,ABB.NS,,,4537.930078125,,80.40286662950345,4529.589285714285,4599.578342245859,4459.600229182712,12.25,16.006374511593673,,,,,,97.41189014156811,97.13576339368501,Overbought,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
16,2023-12-04 09:31:00+05:30,4578.9501953125,4590.0,4578.60009765625,4585.0,4585.0,9583,ABB.NS,,,4546.415087890625,,81.80839668775906,4537.771414620535,4604.917932657252,4470.624896583819,12.2001953125,15.62675494820416,,,,,,95.82985481867607,96.41663167913488,Overbought,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Bearish
17,2023-12-04 09:32:00+05:30,4586.10009765625,4591.0,4576.2001953125,4591.0,4591.0,5345,ABB.NS,,,4555.330078125,,82.90846657011053,4545.003557477678,4611.712442451654,4478.294672503703,14.7998046875,15.546917148869275,,,,,,100.0,97.7472483200814,Overbought,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
18,2023-12-04 09:33:00+05:30,4591.9501953125,4593.89990234375,4572.0498046875,4575.0,4575.0,3246,ABB.NS,,,4563.32509765625,,70.6408876393166,4550.349993024553,4613.737730984721,4486.962255064386,21.85009765625,16.137802263919443,,,,,,81.06218503840697,92.29734661902768,Overbought,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Bearish
19,2023-12-04 09:34:00+05:30,4575.0,4575.64990234375,4550.0,4556.0,4556.0,5271,ABB.NS,,,4568.47509765625,,59.40078092568242,4553.889264787947,4612.424672260751,4495.353857315142,25.64990234375,17.005995878914387,,,,,,62.02407162777044,81.02875222205914, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Bearish
20,2023-12-04 09:35:00+05:30,4560.0,4569.7998046875,4557.0,4559.9501953125,4559.9501953125,3660,ABB.NS,,,4570.60009765625,,60.79740261032333,4558.400006975447,4607.637193970467,4509.162819980426,13.7998046875,16.72038631338528,,,,,,65.8796914258794,69.6553160306856, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Bearish
21,2023-12-04 09:36:00+05:30,4559.89990234375,4561.2001953125,4538.5,4545.9501953125,4545.9501953125,3905,ABB.NS,,,4571.970068359375,,53.741321102299985,4561.82502092634,4598.964368259071,4524.685673593608,22.7001953125,17.24139368458583,,,,,,41.453279358019685,56.452347470556504, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Bearish
22,2023-12-04 09:37:00+05:30,4545.9501953125,4545.9501953125,4530.4501953125,4531.0498046875,4531.0498046875,2808,ABB.NS,,,4570.190087890625,,47.43172211960491,4562.542864118303,4596.772660403705,4528.313067832902,15.5,17.0927121384631,,,,,,11.478735695422536,39.603902159773874, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
23,2023-12-04 09:38:00+05:30,4530.64990234375,4537.25,4515.0,4524.85009765625,4524.85009765625,3910,ABB.NS,,,4567.155078125,,45.06114629239483,4561.660714285715,4598.956732774374,4524.364695797055,22.25,17.524956318745385,,,,,,12.48429638522901,21.805437146223742, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
24,2023-12-04 09:39:00+05:30,4527.89990234375,4536.14990234375,4523.14990234375,4533.7001953125,4533.7001953125,2949,ABB.NS,,,4563.36005859375,,48.98107225578607,4560.735735212053,4600.0620746986515,4521.409395725455,13.0,17.152102125169442,,,,,,23.701164078793468,15.88806538648167, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Bullish
25,2023-12-04 09:40:00+05:30,4536.14990234375,4537.4501953125,4523.0,4525.0,4525.0,1695,ABB.NS,,,4559.255029296875,,45.54100816313214,4557.592878069197,4600.632469163005,4514.553286975388,14.4501953125,16.932914762612082,0.5777844096746776,,,,,12.674286916645523,16.286582460222665, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
26,2023-12-04 09:41:00+05:30,4523.0,4524.2998046875,4513.25,4522.0,4522.0,2277,ABB.NS,,,4553.660009765625,,44.38346709894954,4554.807163783482,4601.49770745006,4508.1166201169035,11.75,16.518451766655858,-1.0183457668317715,,,,,10.84936217616894,15.741604390535977, ,,Invalid Value,,,Hold,Hold,Hold,Hold,Hold,Hold
