,Value,Num,Stock
0,Open,4213.3,abbindia
1,Previous Close,4192.7,abbindia
2,Volume,158952.0,abbindia
3,Value (Lacs),6652.78,abbindia
4,i  VWAP,4194.58,abbindia
5,Beta,,abbindia
0,High,4226.3,abbindia
1,Low,4170.0,abbindia
2,UC Limit,4611.95,abbindia
3,LC Limit,3773.45,abbindia
4,52 Week High,4678.0,abbindia
5,52 Week Low,2640.0,abbindia
0,TTM EPS See historical trend,0.00  (+27.02% YoY),abbindia
1,TTM PE See historical trend,--  (Average PE),abbindia
2,P/B See historical trend,34.10 (High P/B),abbindia
3,Face Value,2.00,abbindia
0,Mkt Cap (Rs. Cr.),88692,abbindia
1,Dividend Yield,0.13,abbindia
2,20D Avg Volume,272414,abbindia
3,20D Avg Delivery(%),--,abbindia
4,Sector PE,74.91,abbindia
5,Book Value Per Share,122.77,abbindia
0,Open,- -,abbindia
1,Previous Close,- -,abbindia
2,Volume,- -,abbindia
3,Value(lacs),- -,abbindia
0,High,- -,abbindia
1,Low,- -,abbindia
2,ATP,- -,abbindia
3,Spot,- -,abbindia
0,Open,1998.0,acc
1,Previous Close,1986.25,acc
2,Volume,601662.0,acc
3,Value (Lacs),12266.08,acc
4,i  VWAP,2038.14,acc
5,Beta,,acc
0,High,2056.95,acc
1,Low,1981.4,acc
2,UC Limit,2184.85,acc
3,LC Limit,1787.65,acc
4,52 Week High,2675.0,acc
5,52 Week Low,1592.35,acc
0,TTM EPS See historical trend,38.74  (-46.24% YoY),acc
1,TTM PE See historical trend,52.63  (Average PE),acc
2,P/B See historical trend,2.71 (Average P/B),acc
3,Face Value,10.00,acc
0,Mkt Cap (Rs. Cr.),38284,acc
1,Dividend Yield,0.45,acc
2,20D Avg Volume,420143,acc
3,20D Avg Delivery(%),--,acc
4,Sector PE,46.92,acc
5,Book Value Per Share,752.89,acc
0,Open,- -,acc
1,Previous Close,- -,acc
2,Volume,- -,acc
3,Value(lacs),- -,acc
0,High,- -,acc
1,Low,- -,acc
2,ATP,- -,acc
3,Spot,- -,acc
0,Open,718.9,ausmallfinancebank
1,Previous Close,715.2,ausmallfinancebank
2,Volume,1174535.0,ausmallfinancebank
3,Value (Lacs),8406.73,ausmallfinancebank
4,i  VWAP,715.9,ausmallfinancebank
5,Beta,,ausmallfinancebank
0,High,720.7,ausmallfinancebank
1,Low,712.0,ausmallfinancebank
2,UC Limit,786.7,ausmallfinancebank
3,LC Limit,643.7,ausmallfinancebank
4,52 Week High,795.0,ausmallfinancebank
5,52 Week Low,548.0,ausmallfinancebank
0,TTM EPS See historical trend,0.00  (+22.14% YoY),ausmallfinancebank
1,TTM PE See historical trend,--  (Average PE),ausmallfinancebank
2,P/B See historical trend,17.87 (Low P/B),ausmallfinancebank
3,Face Value,10.00,ausmallfinancebank
0,Mkt Cap (Rs. Cr.),47828,ausmallfinancebank
1,Dividend Yield,0.14,ausmallfinancebank
2,20D Avg Volume,1645157,ausmallfinancebank
3,20D Avg Delivery(%),--,ausmallfinancebank
4,Sector PE,23.71,ausmallfinancebank
5,Book Value Per Share,40.06,ausmallfinancebank
0,Open,- -,ausmallfinancebank
