,0,1,2,3,4,5,6,Stock
0,Profit & Loss account of ABB India (in Rs. Cr.),Dec 22,Dec 21,Dec 20,Dec 19,Dec 18,,abbindia
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,abbindia
2,INCOME,,,,,,,abbindia
3,Revenue From Operations [Gross],8498.41,6864.02,5757.17,7229.00,6613.36,,abbindia
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,,abbindia
5,Revenue From Operations [Net],8498.41,6864.02,5757.17,7229.00,6613.36,,abbindia
6,Total Operating Revenues,8567.53,6934.00,5820.95,7315.06,6690.12,,abbindia
7,Other Income,179.47,159.62,106.87,94.31,84.01,,abbindia
8,Total Revenue,8747.00,7093.62,5927.82,7409.37,6774.13,,abbindia
9,EXPENSES,,,,,,,abbindia
10,Cost Of Materials Consumed,4704.18,3757.40,3227.94,4194.97,3755.62,,abbindia
11,Purchase Of Stock-In Trade,698.53,691.31,456.66,471.02,582.11,,abbindia
12,Operating And Direct Expenses,241.45,210.96,164.56,221.88,226.30,,abbindia
13,"Changes In Inventories Of FG,WIP And Stock-In Trade",-101.53,-33.36,21.28,-26.73,-50.38,,abbindia
14,Employee Benefit Expenses,635.29,588.24,568.01,579.62,529.50,,abbindia
15,Finance Costs,13.11,10.70,16.87,21.36,53.90,,abbindia
16,Depreciation And Amortisation Expenses,104.70,102.70,120.36,90.40,92.76,,abbindia
17,Other Expenses,1427.74,1162.74,1106.56,1343.15,1189.18,,abbindia
18,Total Expenses,7723.47,6490.69,5682.24,6895.67,6378.99,,abbindia
19,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",1023.53,602.93,245.58,513.70,395.14,,abbindia
20,Exceptional Items,339.26,121.34,58.79,-69.70,0.00,,abbindia
21,Profit/Loss Before Tax,1362.79,724.27,304.37,444.00,395.14,,abbindia
22,Tax Expenses-Continued Operations,,,,,,,abbindia
23,Current Tax,328.29,176.85,74.34,130.32,139.65,,abbindia
24,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,,abbindia
25,Deferred Tax,8.89,14.93,2.22,11.45,1.30,,abbindia
26,Tax For Earlier Years,0.00,0.00,-2.63,0.00,0.00,,abbindia
27,Total Tax Expenses,337.18,191.78,73.93,141.77,140.95,,abbindia
28,Profit/Loss After Tax And Before ExtraOrdinary Items,1025.61,532.49,230.44,302.23,254.19,,abbindia
29,Profit/Loss From Continuing Operations,1025.61,532.49,230.44,302.23,254.19,,abbindia
30,Profit/Loss For The Period,1016.23,519.71,219.22,303.40,510.89,,abbindia
31,OTHER ADDITIONAL INFORMATION,,,,,,,abbindia
32,EARNINGS PER SHARE,,,,,,,abbindia
33,Basic EPS (Rs.),47.96,24.53,10.34,14.32,24.11,,abbindia
34,Diluted EPS (Rs.),47.96,24.53,10.34,14.32,24.11,,abbindia
35,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,,,abbindia
36,Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,,abbindia
37,Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,,abbindia
38,"STORES, SPARES AND LOOSE TOOLS",,,,,,,abbindia
39,Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,,abbindia
40,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,,abbindia
41,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,,abbindia
