,0,1,2,3,4,5,6,Stock
0,Balance Sheet of ABB India (in Rs. Cr.),Dec 22,Dec 21,Dec 20,Dec 19,Dec 18,,abbindia
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,abbindia
2,EQUITIES AND LIABILITIES,,,,,,,abbindia
3,SHAREHOLDER'S FUNDS,,,,,,,abbindia
4,Equity Share Capital,42.38,42.38,42.38,42.38,42.38,,abbindia
5,Total Share Capital,42.38,42.38,42.38,42.38,42.38,,abbindia
6,Reserves and Surplus,4896.96,4002.74,3563.93,3477.73,3964.94,,abbindia
7,Total Reserves and Surplus,4896.96,4002.74,3563.93,3477.73,3964.94,,abbindia
8,Total Shareholders Funds,4939.41,4045.19,3606.38,3520.11,4007.32,,abbindia
9,NON-CURRENT LIABILITIES,,,,,,,abbindia
10,Long Term Borrowings,0.00,0.00,0.00,7.06,2.03,,abbindia
11,Deferred Tax Liabilities [Net],0.00,0.00,0.00,0.00,0.00,,abbindia
12,Other Long Term Liabilities,28.48,23.76,50.20,3.56,3.49,,abbindia
13,Long Term Provisions,0.00,0.00,0.00,44.97,32.29,,abbindia
14,Total Non-Current Liabilities,28.48,23.76,50.20,55.59,37.81,,abbindia
15,CURRENT LIABILITIES,,,,,,,abbindia
16,Short Term Borrowings,0.00,0.00,0.00,0.00,0.00,,abbindia
17,Trade Payables,2636.76,1961.30,1720.74,1901.60,1874.51,,abbindia
18,Other Current Liabilities,1330.40,1707.95,1923.13,2012.59,2923.88,,abbindia
19,Short Term Provisions,383.18,334.54,290.05,210.94,233.38,,abbindia
20,Total Current Liabilities,4350.34,4003.79,3933.92,4125.13,5031.77,,abbindia
21,Total Capital And Liabilities,9318.23,8072.74,7590.50,7700.83,9076.90,,abbindia
22,ASSETS,,,,,,,abbindia
23,NON-CURRENT ASSETS,,,,,,,abbindia
24,Tangible Assets,881.20,798.31,762.98,719.80,871.30,,abbindia
25,Intangible Assets,17.97,18.67,19.75,21.89,21.84,,abbindia
26,Capital Work-In-Progress,69.25,76.93,74.86,59.48,83.06,,abbindia
27,Other Assets,0.00,0.00,0.00,0.00,0.00,,abbindia
28,Fixed Assets,968.42,893.91,857.59,801.17,976.20,,abbindia
29,Non-Current Investments,0.00,0.00,0.00,0.00,0.09,,abbindia
30,Deferred Tax Assets [Net],89.84,93.86,117.21,110.34,114.96,,abbindia
31,Long Term Loans And Advances,0.00,8.68,9.12,10.51,10.42,,abbindia
32,Other Non-Current Assets,361.37,440.95,522.94,380.62,450.11,,abbindia
33,Total Non-Current Assets,1419.63,1437.40,1506.86,1302.64,1551.78,,abbindia
34,CURRENT ASSETS,,,,,,,abbindia
35,Current Investments,493.15,0.00,0.08,0.08,0.08,,abbindia
36,Inventories,1420.66,1009.09,840.83,861.73,927.85,,abbindia
37,Trade Receivables,2092.99,1883.84,1694.96,1947.54,1686.89,,abbindia
38,Cash And Cash Equivalents,3149.08,2687.74,2206.57,1597.57,1475.07,,abbindia
