date,heading,text,SourceTag,Text NER,Heading NER
"December 25, 2023 02:31 PM IST","Crypto crystal ball 2024 reveals Bitcoin blaze, bridges and decentralisation","The future for crypto appears bright with interoperability and scaling solutions promising a quicker and more secure environment. Bitcoin looks like it will see a bull run, laying the path for other crypto currencies.",buss_news1,[],"['2024', 'Bitcoin']"
"December 25, 2023 02:29 PM IST","63 cases of COVID-19 sub-variant JN.1 detected in India so far, highest from Goa","In a letter to the states and Union territories last week, Health Secretary Sudhansh Pant underlined the critical COVID-19 control-and-management strategies considering the upcoming festive season and advised them to put in place the requisite public health measures to minimise the risk of increase in the transmission of the disease.",buss_news1,"['last week', 'Health', 'Sudhansh Pant', 'COVID-19']","['63', 'COVID-19', 'India', 'Goa']"
"December 25, 2023 02:11 PM IST",China OKs 105 online games in Christmas gesture of support after draft curbs trigger massive losses,"After proposed limitations caused large losses for investors in big game companies last week, China's press and publications administration has approved 105 new online games, stating it fully supports the industry.",buss_news1,"['last week', 'China', '105']","['China', '105', 'Christmas']"
"December 25, 2023 02:04 PM IST",Moneycontrol Selects: Top stories this afternoon,Our specially curated package of the most interesting articles to help you stay at the top of your game.,buss_news1,[],['this afternoon']
"December 25, 2023 01:47 PM IST","HOP Electric eyes 3-fold rise in sales in 2024, to launch mass market electric bike in FY25","According to business Founder & CTO Rahil Gupta, HOP Electric is aiming to triple its yearly sales by 2024 and is planning to manufacture an electric motorbike similar to the mass market entry level bikes with conventional engines to boost volumes.",buss_news1,"['Founder & CTO', 'Rahil Gupta', 'HOP Electric', 'yearly', '2024']","['HOP Electric', '3-fold', '2024']"
"December 25, 2023 01:40 PM IST","Disney, Reliance sign non-binding agreement for India media operations merger: Reuters","The deal is likely to be completed by February, with Reliance aiming to finish the process by the end of January, subject to regulatory approvals, it said.",buss_news1,"['February', 'Reliance', 'the end of January']","['Disney', 'Reliance', 'India', 'Reuters']"
"December 25, 2023 12:30 PM IST","Tight liquidity forces banks, corporates to raise short-term funds","Outstanding certificates of deposits rose around 18 percent on-year in November, and commercial papers rose 10 percent on-year, according to NSDL data.",buss_news1,"['around 18 percent', '-year', 'November', '10 percent', 'NSDL']",[]
"December 25, 2023 12:04 PM IST",Foreign shareholders suspend participation in Russia's Arctic LNG 2 project,"The project, seen as a key element in Russia's drive to boost its LNG global market share to 20% by 2030 from 8%, was already facing difficulties due to U.S. sanctions over the conflict in Ukraine and a lack of gas carriers.",buss_news1,"['Russia', 'LNG', '20%', '2030', '8%', 'U.S.', 'Ukraine']","['Russia', 'Arctic LNG 2']"
"December 25, 2023 12:11 PM IST",India’s Asian Games high gave cricket a complex in an eventful 2023,Paris Olympics 2024 will test India’s progress as a global sports power but aspiration levels must be modest,buss_news1,"['Paris', 'India']","['India', 'Asian', '2023']"
"December 25, 2023 11:06 AM IST","Cold Christmas morning in Delhi, AQI improves to 'very poor'","The minimum temperature settled at 9.4 degrees Celsius, the India Meteorological Department said.",buss_news1,"['9.4 degrees Celsius', 'the India Meteorological Department']","['Christmas', 'morning', 'Delhi', 'AQI']"
"December 25, 2023 12:59 PM IST",Pentagon confirms drone 'fired by Iran' on Japan-owned tanker off India coast,"Pentagon accuses Iran of targeting a Japanese-owned tanker, signaling heightened risks to shipping beyond the Red Sea.",buss_news1,"['Pentagon', 'Iran', 'Japanese', 'the Red Sea']","['Pentagon', 'Iran', 'Japan', 'India']"
"December 25, 2023 10:54 AM IST",Paytm lays off over 1000 employees as firm implements AI automation tech,The firm has been conducting layoffs based on non-performance and due to AI automation over the last one month.,buss_news1,"['AI', 'the last one month']","['over 1000', 'AI']"
"December 25, 2023 10:53 AM IST",New India: Why this asset class demands a premium multiple?,"India's exposure in the global asset allocation market is accidental as India continues to sit in the emerging markets bucket. As the economy edges near the $4 trillion threshold, a change in perception can help India catapult as a separate asset allocation item",buss_news1,"['India', 'India', '$4 trillion', 'India']",['New India:']
"December 25, 2023 10:10 AM IST",Stockology: Will markets see trend-reversal in last trading week of the year?,"The historical data from TimeMap indicates a preference for bullish trends, and the uptrend could persist until the end of December",buss_news1,"['TimeMap', 'the end of December']",['last trading week of the year']
