date,heading,text,SourceTag,Text NER,Heading NER
"January 17, 2024 06:36 AM IST",HFT Scan : QE Securities turns net seller in Motisons and RBZ Jewellers,"While Dredging Corporation of India touched a 52-week high, RNZ Jewellers closed lower.",buss_news1,"['52-week', 'RNZ Jewellers']","['QE Securities', 'Motisons', 'RBZ Jewellers']"
"January 17, 2024 06:31 AM IST","F&O Watch for Jan 17: Vodafone Idea may enter ban list, Indus Towers likely to exit","GNFC, Balrampur Chini Mills, IEX, RBL Bank, PNB, GMR Airports Infra, Granules India, NMDC, Vodafone Idea, Sun TV, IRCTC and UPL may enter the ban list as these stocks are near the 95 percent MWPL.",buss_news1,"['Balrampur Chini Mills', 'IEX', 'RBL Bank', 'PNB', 'GMR Airports Infra', 'Granules India', 'NMDC', 'Vodafone Idea', 'Sun TV', 'IRCTC', 'UPL', '95 percent', 'MWPL']","['F&O Watch', 'Jan 17', 'Indus Towers']"
"January 17, 2024 06:35 AM IST",France's Emmanuel Macron announces dozens of missiles and hundreds of bombs for Ukraine,Macron was speaking at a wide-ranging news conference where he addressed an array of domestic and international issues for more than two hours.,buss_news1,"['Macron', 'more than two hours']","['France', 'Emmanuel Macron', 'dozens', 'hundreds', 'Ukraine']"
"January 17, 2024 06:35 AM IST",World's biggest solar battery becomes operational in South Africa,"Statec -- South Africa's largest player in the solar energy market -- said its solar battery storage system started feeding power into Eskom's grid in mid-December from its hybrid solar and battery facility in the Northern Cape province, which receives the greatest amount of sunlight in the country throughout the year.",buss_news1,"['Statec', ""South Africa's"", 'Eskom', 'mid-December', 'the Northern Cape', 'the year']","['World', 'South Africa']"
"January 17, 2024 06:35 AM IST","Pakistan condemns Iran's 'violation of its airspace', warns such actions can have 'consequences'","Iran on Tuesday launched attacks in Pakistan, targeting what it described as bases for the militant group, the country's state media reported, potentially raising tensions in a Middle East already roiled by Israel's war on Hamas in the Gaza Strip.",buss_news1,"['Iran', 'Tuesday', 'Pakistan', 'a Middle East', 'Israel', 'Hamas', 'the Gaza Strip']","['Pakistan', 'Iran']"
"January 17, 2024 06:23 AM IST",Next Republican debate cancelled after Nikki Haley says she'll only participate if Donald Trump does,"The move also could be a result of the last debate which featured only Haley and DeSantis, in which Haley didn't perform as well as expected, and DeSantis ultimately ended up beating her for second place in Iowa.",buss_news1,"['Haley', 'DeSantis', 'Haley', 'DeSantis', 'second', 'Iowa']","['Republican', 'Nikki Haley', 'Donald Trump']"
"January 17, 2024 06:16 AM IST",Cash Market | Tata Steel shows a classic breakout pullback trade setup,Tata Steel takes support and reverses from rising trendline,buss_news1,['Tata Steel'],['Tata Steel']
"January 17, 2024 06:15 AM IST",Futures Trade | Jindal Steel and Power shows a symmetrical triangle breakout pattern,Jindal Steel and Power has taken support from 20 EMA with a breakout in RSI indicating a further up move,buss_news1,"['Jindal Steel', '20', 'EMA', 'RSI']",['Jindal Steel']
"January 17, 2024 06:35 AM IST","Trade Spotlight: What should be your blueprint for trading in IOC, SAIL, LIC shares?",Steel Authority of India has seen nice consolidation breakout and formed strong bullish candlestick pattern on the daily timeframe with healthy volumes.,buss_news1,['Steel Authority'],"['IOC', 'SAIL', 'LIC']"
"January 17, 2024 06:14 AM IST",Options Trade | An earnings-based non-directional options strategy in Asian Paints,Asian Paints is expected to remain sideways within our range. An Iron Condor trade to capitalise on high volatility.,buss_news1,['Asian'],['Asian']
"January 17, 2024 06:12 AM IST",Cash Market | BHEL ready for the next move up,BHEL is waiting to break out of the consolidation,buss_news1,['BHEL'],['BHEL']
"January 17, 2024 06:12 AM IST","Wall Street ends lower, dollar, US yields rise on shifting rate outlook",A broad sell-off pulled all three major U.S. stock indexes lower while the greenback advanced and the benchmark U.S. Treasury yield climbed to its highest level since mid-December.,buss_news1,"['three', 'U.S.', 'U.S. Treasury', 'mid-December']",['US']
"January 17, 2024 06:12 AM IST","Hot Stocks | Bet on National Fertilizers, MOIL, Heritage Foods for double-digit returns","National Fertilizers is currently trading above all crucial moving averages, indicating a positive bias. Additionally, momentum indicators suggest a favourable outlook for further upward movement.",buss_news1,['National Fertilizers'],"['Bet on National Fertilizers', 'MOIL', 'Heritage Foods']"
"January 17, 2024 06:12 AM IST","Allied Blenders and Distillers cuts IPO size, refiles draft papers to raise Rs 1,500 cr","Allied Blenders and Distillers IPO is a mix of fresh issuance of shares worth Rs 1,000 crore, and an offer-for-sale (OFS) of Rs 500 crore worth shares by the promoters.",buss_news1,"['Allied Blenders', 'IPO', 'Rs 1,000', 'Rs 500']","['Allied Blenders', 'IPO']"
"January 17, 2024 05:47 AM IST",Moneycontrol Daily: Your Essential 7,A daily round-up of the most interesting articles to help jump-start the day.,buss_news1,"['daily', 'the day']",['Moneycontrol Daily']
"January 16, 2024 11:09 PM IST",Dollar hits one-month high as Fed rate-cut outlook eases,"Markets are pricing in a 71.4% chance of a 25 basis point (bps) cut in March from the Fed, compared with an 81% view in the prior session according to CME's FedWatch Tool.",buss_news1,"['71.4%', '25', 'March', 'Fed', '81%', 'CME', 'FedWatch Tool']","['one-month', 'Fed']"
"January 16, 2024 11:05 PM IST",India Inc likely to report 8-10% revenue growth in Q3: Report,"The operating profits have likely expanded 100-150 basis points on-year in the three months ended December 2023, giving the corporates an overall operating margin of 19-20 per cent in the first nine months of 2023-24 fiscal, as per Crisil Ratings.",buss_news1,"['100-150', 'on-year', 'the three months ended December 2023', '19-20', 'the first nine months of 2023-24 fiscal']","['India Inc', '8-10%', 'Q3']"
