date,heading,text,SourceTag,Text NER,Heading NER,Text Sentiment,Heading Sentiment
"January 17, 2024 06:36 AM IST",HFT Scan : QE Securities turns net seller in Motisons and RBZ Jewellers,"While Dredging Corporation of India touched a 52-week high, RNZ Jewellers closed lower.",buss_news1,"['52-week', 'RNZ Jewellers']","['QE Securities', 'Motisons', 'RBZ Jewellers']","{'positive': 0.6206645369529724, 'negative': 0.2025003582239151, 'neutral': 0.17683513462543488}","{'positive': 0.3647508919239044, 'negative': 0.30212530493736267, 'neutral': 0.33312374353408813}"
"January 17, 2024 06:31 AM IST","F&O Watch for Jan 17: Vodafone Idea may enter ban list, Indus Towers likely to exit","GNFC, Balrampur Chini Mills, IEX, RBL Bank, PNB, GMR Airports Infra, Granules India, NMDC, Vodafone Idea, Sun TV, IRCTC and UPL may enter the ban list as these stocks are near the 95 percent MWPL.",buss_news1,"['Balrampur Chini Mills', 'IEX', 'RBL Bank', 'PNB', 'GMR Airports Infra', 'Granules India', 'NMDC', 'Vodafone Idea', 'Sun TV', 'IRCTC', 'UPL', '95 percent', 'MWPL']","['F&O Watch', 'Jan 17', 'Indus Towers']","{'positive': 0.004870255943387747, 'negative': 0.21002276241779327, 'neutral': 0.7851069569587708}","{'positive': 0.09612429887056351, 'negative': 0.8018919825553894, 'neutral': 0.10198374837636948}"
"January 17, 2024 06:35 AM IST",France's Emmanuel Macron announces dozens of missiles and hundreds of bombs for Ukraine,Macron was speaking at a wide-ranging news conference where he addressed an array of domestic and international issues for more than two hours.,buss_news1,"['Macron', 'more than two hours']","['France', 'Emmanuel Macron', 'dozens', 'hundreds', 'Ukraine']","{'positive': 0.08754179626703262, 'negative': 0.5145224928855896, 'neutral': 0.3979357182979584}","{'positive': 0.0358019657433033, 'negative': 0.08083489537239075, 'neutral': 0.8833631277084351}"
"January 17, 2024 06:35 AM IST",World's biggest solar battery becomes operational in South Africa,"Statec -- South Africa's largest player in the solar energy market -- said its solar battery storage system started feeding power into Eskom's grid in mid-December from its hybrid solar and battery facility in the Northern Cape province, which receives the greatest amount of sunlight in the country throughout the year.",buss_news1,"['Statec', ""South Africa's"", 'Eskom', 'mid-December', 'the Northern Cape', 'the year']","['World', 'South Africa']","{'positive': 0.4418864846229553, 'negative': 0.25306302309036255, 'neutral': 0.30505043268203735}","{'positive': 0.15288177132606506, 'negative': 0.23124191164970398, 'neutral': 0.6158763766288757}"
"January 17, 2024 06:35 AM IST","Pakistan condemns Iran's 'violation of its airspace', warns such actions can have 'consequences'","Iran on Tuesday launched attacks in Pakistan, targeting what it described as bases for the militant group, the country's state media reported, potentially raising tensions in a Middle East already roiled by Israel's war on Hamas in the Gaza Strip.",buss_news1,"['Iran', 'Tuesday', 'Pakistan', 'a Middle East', 'Israel', 'Hamas', 'the Gaza Strip']","['Pakistan', 'Iran']","{'positive': 0.17106105387210846, 'negative': 0.8135093450546265, 'neutral': 0.015429701656103134}","{'positive': 0.014363068155944347, 'negative': 0.9589484930038452, 'neutral': 0.026688477024435997}"
"January 17, 2024 06:23 AM IST",Next Republican debate cancelled after Nikki Haley says she'll only participate if Donald Trump does,"The move also could be a result of the last debate which featured only Haley and DeSantis, in which Haley didn't perform as well as expected, and DeSantis ultimately ended up beating her for second place in Iowa.",buss_news1,"['Haley', 'DeSantis', 'Haley', 'DeSantis', 'second', 'Iowa']","['Republican', 'Nikki Haley', 'Donald Trump']","{'positive': 0.620638370513916, 'negative': 0.16166362166404724, 'neutral': 0.21769797801971436}","{'positive': 0.4598984718322754, 'negative': 0.32410603761672974, 'neutral': 0.21599553525447845}"
"January 17, 2024 06:16 AM IST",Cash Market | Tata Steel shows a classic breakout pullback trade setup,Tata Steel takes support and reverses from rising trendline,buss_news1,['Tata Steel'],['Tata Steel'],"{'positive': 0.2705574035644531, 'negative': 0.6030214428901672, 'neutral': 0.12642113864421844}","{'positive': 0.20860153436660767, 'negative': 0.06725680828094482, 'neutral': 0.7241416573524475}"
"January 17, 2024 06:15 AM IST",Futures Trade | Jindal Steel and Power shows a symmetrical triangle breakout pattern,Jindal Steel and Power has taken support from 20 EMA with a breakout in RSI indicating a further up move,buss_news1,"['Jindal Steel', '20', 'EMA', 'RSI']",['Jindal Steel'],"{'positive': 0.9080078601837158, 'negative': 0.007636034395545721, 'neutral': 0.0843561589717865}","{'positive': 0.2631945312023163, 'negative': 0.028789404779672623, 'neutral': 0.708016037940979}"
"January 17, 2024 06:35 AM IST","Trade Spotlight: What should be your blueprint for trading in IOC, SAIL, LIC shares?",Steel Authority of India has seen nice consolidation breakout and formed strong bullish candlestick pattern on the daily timeframe with healthy volumes.,buss_news1,['Steel Authority'],"['IOC', 'SAIL', 'LIC']","{'positive': 0.9997151494026184, 'negative': 2.4628192477393895e-05, 'neutral': 0.00026014726608991623}","{'positive': 0.5340336561203003, 'negative': 0.2094259113073349, 'neutral': 0.256540447473526}"
"January 17, 2024 06:14 AM IST",Options Trade | An earnings-based non-directional options strategy in Asian Paints,Asian Paints is expected to remain sideways within our range. An Iron Condor trade to capitalise on high volatility.,buss_news1,['Asian'],['Asian'],"{'positive': 0.2511129379272461, 'negative': 0.14604395627975464, 'neutral': 0.6028430461883545}","{'positive': 0.21988482773303986, 'negative': 0.003924640826880932, 'neutral': 0.7761905789375305}"
"January 17, 2024 06:12 AM IST",Cash Market | BHEL ready for the next move up,BHEL is waiting to break out of the consolidation,buss_news1,['BHEL'],['BHEL'],"{'positive': 0.16839885711669922, 'negative': 0.05416019260883331, 'neutral': 0.7774409651756287}","{'positive': 0.757246732711792, 'negative': 0.17323844134807587, 'neutral': 0.06951484084129333}"
"January 17, 2024 06:12 AM IST","Wall Street ends lower, dollar, US yields rise on shifting rate outlook",A broad sell-off pulled all three major U.S. stock indexes lower while the greenback advanced and the benchmark U.S. Treasury yield climbed to its highest level since mid-December.,buss_news1,"['three', 'U.S.', 'U.S. Treasury', 'mid-December']",['US'],"{'positive': 0.2511555552482605, 'negative': 0.6717126965522766, 'neutral': 0.0771317332983017}","{'positive': 0.1426144391298294, 'negative': 0.2240854948759079, 'neutral': 0.6333000659942627}"
"January 17, 2024 06:12 AM IST","Hot Stocks | Bet on National Fertilizers, MOIL, Heritage Foods for double-digit returns","National Fertilizers is currently trading above all crucial moving averages, indicating a positive bias. Additionally, momentum indicators suggest a favourable outlook for further upward movement.",buss_news1,['National Fertilizers'],"['Bet on National Fertilizers', 'MOIL', 'Heritage Foods']","{'positive': 0.679543137550354, 'negative': 0.31380414962768555, 'neutral': 0.006652692332863808}","{'positive': 0.3257114887237549, 'negative': 0.5301831960678101, 'neutral': 0.14410527050495148}"
