date,heading,text,SourceTag,Text NER,Heading NER,Text Sentiment,Heading Sentiment
"January 14, 2024 10:59 AM IST","Budget 2024: Interim Budget may see measures to boost consumption demand, push agri economy",Finance Minister Nirmala Sitharaman is expected to intensify measures to stimulate consumption and support the rural economy while maintaining control over inflation in her upcoming presentation of the sixth consecutive budget on February 1.,buss_news1,"['Nirmala Sitharaman', 'sixth', 'February 1']",['2024'],"{'positive': 0.892358660697937, 'negative': 0.041649460792541504, 'neutral': 0.0659918561577797}","{'positive': 0.7884418368339539, 'negative': 0.20403830707073212, 'neutral': 0.007519830949604511}"
"January 14, 2024 10:04 AM IST",Disruption in flight ops in Chennai as ''Bhogi'' smoke affects visibility,"Due to reduced visibility caused by 'Bhogi' smoke, three international flights destined for this location were diverted to Hyderabad on Sunday, airport officials reported.",buss_news1,"['Bhogi', 'three', 'Hyderabad', 'Sunday']",['Chennai'],"{'positive': 0.00236506387591362, 'negative': 0.8705676794052124, 'neutral': 0.12706728279590607}","{'positive': 0.017600758001208305, 'negative': 0.2566702961921692, 'neutral': 0.7257289290428162}"
"January 14, 2024 09:19 AM IST","Daily Voice | Setup for capital goods companies quite optimistic; may see revival in consumption, says this expert","The current market rally indicates that consensus is expecting a more than 75bps rate cut in fed funds rate, says Kedar Kadam.",buss_news1,"['fed', 'Kedar Kadam']",['Daily Voice'],"{'positive': 0.48712968826293945, 'negative': 0.26672428846359253, 'neutral': 0.24614597856998444}","{'positive': 0.6385203003883362, 'negative': 0.23469151556491852, 'neutral': 0.1267881542444229}"
"January 14, 2024 09:07 AM IST",Renting at a 50% discount in a slum redevelopment building in Mumbai | The Tenant,"In this episode of The Tenant, we delve into the intricacies of a 240 sqft 1BHK apartment situated in Mumbai's slum redevelopment, strategically positioned in Andheri East for professional convenience. Embark on the tenant's narrative as he uncovers the distinctive facets of residing in a structure revitalized for slum dwellers, providing complimentary homes and budget-friendly rents. Tune in to the episode for a deeper understanding.",buss_news1,"['Tenant', '240', 'Mumbai', 'Andheri East']","['50%', 'Mumbai']","{'positive': 0.9843783974647522, 'negative': 0.0014364655362442136, 'neutral': 0.014185136184096336}","{'positive': 0.16413849592208862, 'negative': 0.6522073745727539, 'neutral': 0.18365412950515747}"
"January 14, 2024 11:16 AM IST","Dalal Street Week Ahead: Q3 earnings, Red Sea, China GDP, Europe inflation among 10 key factors to watch","Given the optimism at Dalal Street, in the coming week, the market may climb further higher to 22,000-22,100 levels on the Nifty 50, but intermittent consolidation can't be ruled out, with focus majorly on corporate earnings.",buss_news1,"['Dalal Street', 'the coming week', '22,000-22,100']","['Dalal Street Week Ahead', 'Q3', 'Red Sea', 'China', 'Europe', '10']","{'positive': 0.8741768598556519, 'negative': 0.11952902376651764, 'neutral': 0.006294081918895245}","{'positive': 0.022035367786884308, 'negative': 0.0494241900742054, 'neutral': 0.9285404682159424}"
"January 14, 2024 07:55 AM IST",Trade setup for Monday: 15 things to know before opening bell,"A short build-up was seen in 57 stocks including Metropolis Healthcare, HDFC Life Insurance Company, HDFC Asset Management Company, Balrampur Chini Mills, and Container Corporation of India.",buss_news1,"['57', 'Metropolis Healthcare', 'HDFC Life Insurance Company', 'HDFC Asset Management Company', 'Container Corporation', 'India']","['Monday', '15']","{'positive': 0.07817061245441437, 'negative': 0.3576464354991913, 'neutral': 0.5641829371452332}","{'positive': 0.407688170671463, 'negative': 0.13436782360076904, 'neutral': 0.45794394612312317}"
"January 14, 2024 12:12 AM IST","Hyundai, IIT-M to set up Hydrogen Valley Innovation Hub to promote green solutions","This project would not only give India’s green hydrogen goals a push but will also inculcate knowledge sharing, and skill development among others.",buss_news1,['India'],"['Hyundai', 'IIT-M', 'Hydrogen Valley Innovation Hub']","{'positive': 0.662861704826355, 'negative': 0.14706528186798096, 'neutral': 0.19007296860218048}","{'positive': 0.6377989649772644, 'negative': 0.021758951246738434, 'neutral': 0.34044212102890015}"
"January 13, 2024 11:55 PM IST",Maldives President Muizzu's party loses Male Mayoral poll amid diplomatic row with India,The Mayoral polls were held in the backdrop of derogatory comments posted by three deputy ministers of the Muizzu government against Prime Minister Narendra Modi leading to a diplomatic row with India.,buss_news1,"['Mayoral', 'three', 'Muizzu', 'Narendra Modi', 'India']","['Maldives', 'Muizzu', 'Male Mayoral', 'India']","{'positive': 0.23135417699813843, 'negative': 0.07560505717992783, 'neutral': 0.6930407881736755}","{'positive': 0.10702262073755264, 'negative': 0.17737360298633575, 'neutral': 0.715603768825531}"
"January 13, 2024 11:52 PM IST","India, US seek to bolster trade ties, work together on critical minerals","During her talks in New Delhi, Tai asked India to ensure that New Delhi's policies on laptop imports do not restrict trade.",buss_news1,"['New Delhi', 'Tai', 'India', ""New Delhi's""]","['India', 'US']","{'positive': 0.4223504960536957, 'negative': 0.5343676805496216, 'neutral': 0.04328183829784393}","{'positive': 0.16575133800506592, 'negative': 0.5099231600761414, 'neutral': 0.3243255615234375}"
"January 13, 2024 11:36 PM IST",Rate of rupee depreciation coming down: Goyal,"After the Modi government came to power in 2014, the rate of depreciation has come down to about 1.5 per cent.",buss_news1,"['2014', 'about 1.5']",[],"{'positive': 0.039157696068286896, 'negative': 0.037776924669742584, 'neutral': 0.9230654239654541}","{'positive': 0.319873183965683, 'negative': 0.22790789604187012, 'neutral': 0.4522189795970917}"
"January 13, 2024 11:32 PM IST",Received information from India on proposed social security pact; more work required: USTR,"On increasing cooperation in the critical minerals sector, the USTR said these goods are critical to a sustainable and resilient economic industrial future for both nations.",buss_news1,['USTR'],"['India', 'USTR']","{'positive': 0.1672707498073578, 'negative': 0.7831204533576965, 'neutral': 0.049608755856752396}","{'positive': 0.8438751101493835, 'negative': 0.1390252560377121, 'neutral': 0.017099598422646523}"
"January 13, 2024 11:20 PM IST","BHEL to set up 2,400 MW thermal power plant at Odisha's Jharsuguda","The contract scope to BHEL includes engineering, manufacturing, supply, erection and commissioning of equipment such as boilers, turbines and generators for the plant, the statement said.",buss_news1,['BHEL'],"['BHEL', '2,400', 'MW', 'Odisha', 'Jharsuguda']","{'positive': 0.952576220035553, 'negative': 0.008888855576515198, 'neutral': 0.038535017520189285}","{'positive': 0.04172718897461891, 'negative': 0.07561317086219788, 'neutral': 0.8826596140861511}"
"January 14, 2024 07:25 AM IST",Jio among 3 entities interested in state-owned Sri Lanka Telecom,"For Jio, the potential investment assumes significance as it would allow the company to gain a strategic foothold in the Sri Lankan telecom market.",buss_news1,"['Jio', 'Sri Lankan']","['3', 'Sri Lanka Telecom']","{'positive': 0.8751689195632935, 'negative': 0.005972953047603369, 'neutral': 0.11885809153318405}","{'positive': 0.23653054237365723, 'negative': 0.011498556472361088, 'neutral': 0.7519709467887878}"
"January 13, 2024 10:12 PM IST","Amid border issue, China shouldn't expect other aspects to move ahead normally: EAM Jaishankar","The EAM said he had explained to his Chinese counterpart that ""unless a solution is found at the border, they should not expect other relations to move on normally"".",buss_news1,"['EAM', 'Chinese']",['China'],"{'positive': 0.9103621244430542, 'negative': 0.01758924312889576, 'neutral': 0.07204866409301758}","{'positive': 0.23903146386146545, 'negative': 0.20651337504386902, 'neutral': 0.5544551610946655}"
"January 13, 2024 10:08 PM IST","Slowing inflation suggests that Biden's policies are helping, but American voters are still hurting","In a November analysis by the White House, 80% of the decline in the inflation rate since 2022 was due in some form to improved supply chains.",buss_news1,"['November', 'the White House', '80%', '2022']","['Biden', 'American']","{'positive': 0.771155834197998, 'negative': 0.14251838624477386, 'neutral': 0.08632579445838928}","{'positive': 0.814716100692749, 'negative': 0.14618578553199768, 'neutral': 0.03909814730286598}"
"January 13, 2024 10:00 PM IST",No import restrictions on certain IT products like desktop computers: DGFT,"When asked about the issue on desktop computers, an official said that certain companies approached the DGFT that the customs is not allowing imports of desktops, so a clarification was issued on that.",buss_news1,['DGFT'],['DGFT'],"{'positive': 0.6865636110305786, 'negative': 0.17793022096157074, 'neutral': 0.13550621271133423}","{'positive': 0.5518675446510315, 'negative': 0.44026273488998413, 'neutral': 0.007869750261306763}"
"January 13, 2024 09:54 PM IST",China agrees to consider restructuring of loans to Maldives: President Muizzu,"The island country's risk of external debt distress has been classified as ""high"" by the IMF, considering its total GDP is around USD 4.9 billion, according to recent data.",buss_news1,"['IMF', 'around USD 4.9 billion']","['China', 'Maldives', 'Muizzu']","{'positive': 0.013750554993748665, 'negative': 0.9005343317985535, 'neutral': 0.08571510761976242}","{'positive': 0.4537692666053772, 'negative': 0.07040102034807205, 'neutral': 0.4758296310901642}"
"January 13, 2024 09:32 PM IST",China says 'reunification' with Taiwan still 'inevitable' despite election result,"The vote ""will not impede the inevitable trend of China's reunification"", Beijing's Taiwan Affairs Office spokesperson Chen Binhua said in a statement carried by state news agency Xinhua.",buss_news1,"['China', 'Beijing', 'Taiwan Affairs Office', 'Chen Binhua', 'Xinhua']","['China', 'Taiwan']","{'positive': 0.02811552956700325, 'negative': 0.002299748593941331, 'neutral': 0.9695846438407898}","{'positive': 0.2841407358646393, 'negative': 0.19136014580726624, 'neutral': 0.5244991183280945}"
"January 13, 2024 09:31 PM IST","WEF 2024: Karnataka to pitch innovation; Tamil Nadu to showcase skilled talent pool, Dravidian model","While Karnataka Chief Minister Siddaramaiah was originally planned to represent the state at the Davos meet, the state will now be represented by heavy industries minister MB Patil.",buss_news1,"['Karnataka', 'Siddaramaiah', 'Davos', 'MB Patil']","['2024', 'Karnataka', 'Tamil Nadu', 'Dravidian']","{'positive': 0.24257497489452362, 'negative': 0.39730948209762573, 'neutral': 0.3601154685020447}","{'positive': 0.924053966999054, 'negative': 0.0628919005393982, 'neutral': 0.01305411010980606}"
"January 13, 2024 08:43 PM IST",India seeks participation in US govt procurement: Official,The official said the big takeaways for India in the TPF meet were good progress on the proposed resumption of export benefits to certain Indian goods under the USA’s GSP (generalised system of preferences) programme; initiation of formal discussions on designating India a TAA-compliant nation; and treaty status for visas.,buss_news1,"['India', 'TPF', 'Indian', 'USA', 'India', 'TAA']","['India', 'US']","{'positive': 0.9999822378158569, 'negative': 1.655629966990091e-05, 'neutral': 1.1958805998801836e-06}","{'positive': 0.1313985288143158, 'negative': 0.3307593762874603, 'neutral': 0.5378420948982239}"
"January 13, 2024 07:21 PM IST",ED arrests 5 in money laundering case linked to Rajasthan paper leak,A chargesheet was also filed against the accused by the ED in this case in November last year after it filed a money laundering case against them taking cognisance of a Rajasthan Police FIR.,buss_news1,"['November last year', 'a Rajasthan Police FIR']","['ED', '5', 'Rajasthan']","{'positive': 0.03205149620771408, 'negative': 0.7983744144439697, 'neutral': 0.1695740818977356}","{'positive': 0.058121051639318466, 'negative': 0.7402508854866028, 'neutral': 0.20162808895111084}"
"January 13, 2024 06:44 PM IST",Yuvraj hints at mentoring role to prepare Team India for challenges ahead,The stylish former India all-rounder indicated he would like to be a mentor of an IPL side.,buss_news1,"['India', 'IPL']",['Team India'],"{'positive': 0.8435678482055664, 'negative': 0.1530403345823288, 'neutral': 0.003391791367903352}","{'positive': 0.5167530179023743, 'negative': 0.18073804676532745, 'neutral': 0.3025089502334595}"
"January 13, 2024 07:16 PM IST",Nifty IT shining: Pick these 2 tech stocks for healthy returns,"The Nifty has just broken out from the flag pattern, and may further accelerate towards 22,118 levels. As long as it is above 21,580, buying on dips can be a prudent strategy.",buss_news1,"['Nifty', '22,118', '21,580']",['2'],"{'positive': 0.6136465072631836, 'negative': 0.3177284598350525, 'neutral': 0.06862504035234451}","{'positive': 0.1405629962682724, 'negative': 0.8146136403083801, 'neutral': 0.04482332617044449}"
"January 13, 2024 06:35 PM IST",Milind Deora dismisses speculation about quitting Congress to join Shiv Sena led by Shinde,"The Uddhav Thackeray-led group had staked a claim to contest the Mumbai South constituency, represented by Deora before 2014, in the upcoming general elections, which has not gone down well with the Congress leader.",buss_news1,"['The Uddhav Thackeray', 'Mumbai', 'Deora', 'before 2014', 'Congress']","['Milind Deora', 'Congress', 'Shiv Sena', 'Shinde']","{'positive': 0.5929591655731201, 'negative': 0.126547709107399, 'neutral': 0.2804930806159973}","{'positive': 0.9311538934707642, 'negative': 0.03171806037425995, 'neutral': 0.03712797909975052}"
"January 13, 2024 06:31 PM IST",Red Sea crisis: Commerce min calls inter-ministerial meet on Jan 17 to discuss way forward on trade,"Due to attacks, shipping lines have reduced their movement through the Red Sea and are taking the longer route via the Cape of Good Hope, encircling the African continent.",buss_news1,"['the Red Sea', 'the Cape of Good Hope', 'African']","['Red Sea', 'Jan 17']","{'positive': 0.9536570906639099, 'negative': 0.018492376431822777, 'neutral': 0.027850491926074028}","{'positive': 0.03549785539507866, 'negative': 0.9605358242988586, 'neutral': 0.003966310527175665}"
"January 13, 2024 06:27 PM IST",Shooter Vijayveer Sidhu clinches 17th Paris Olympics spot for India,"Asian Games gold medallist Sift Kaur Samra, Ashi Chouksey made it a silver-bronze finish for India in the women’s 50m rifle 3P individual final.",buss_news2,"['Asian', 'Sift Kaur', 'Ashi Chouksey', 'India', '50']","['Shooter Vijayveer Sidhu', '17th', 'Paris Olympics', 'India']","{'positive': 0.11543836444616318, 'negative': 0.1305650919675827, 'neutral': 0.7539965510368347}","{'positive': 0.4214121699333191, 'negative': 0.12021517753601074, 'neutral': 0.45837268233299255}"
