,Value,Num,Stock
0,Open,4103.95,abbindia
1,Previous Close,4098.25,abbindia
2,Volume,303772.0,abbindia
3,Value (Lacs),12430.2,abbindia
4,i  VWAP,4096.86,abbindia
5,Beta,,abbindia
0,High,4149.95,abbindia
1,Low,4058.15,abbindia
2,UC Limit,4508.05,abbindia
3,LC Limit,3688.45,abbindia
4,52 Week High,4678.0,abbindia
5,52 Week Low,2640.0,abbindia
0,TTM EPS See historical trend,0.00  (+27.02% YoY),abbindia
1,TTM PE See historical trend,--  (Average PE),abbindia
2,P/B See historical trend,33.34 (High P/B),abbindia
3,Face Value,2.00,abbindia
0,Mkt Cap (Rs. Cr.),86712,abbindia
1,Dividend Yield,0.13,abbindia
2,20D Avg Volume,275989,abbindia
3,20D Avg Delivery(%),--,abbindia
4,Sector PE,75.66,abbindia
5,Book Value Per Share,122.77,abbindia
0,Open,- -,abbindia
1,Previous Close,- -,abbindia
2,Volume,- -,abbindia
3,Value(lacs),- -,abbindia
0,High,- -,abbindia
1,Low,- -,abbindia
2,ATP,- -,abbindia
3,Spot,- -,abbindia
0,Open,2015.95,acc
1,Previous Close,2012.25,acc
2,Volume,248293.0,acc
3,Value (Lacs),5052.51,acc
4,i  VWAP,2031.28,acc
5,Beta,,acc
0,High,2039.85,acc
1,Low,2008.85,acc
2,UC Limit,2213.45,acc
3,LC Limit,1811.05,acc
4,52 Week High,2675.0,acc
5,52 Week Low,1592.35,acc
0,TTM EPS See historical trend,38.74  (-46.24% YoY),acc
1,TTM PE See historical trend,52.53  (Average PE),acc
2,P/B See historical trend,2.71 (Average P/B),acc
3,Face Value,10.00,acc
0,Mkt Cap (Rs. Cr.),38213,acc
1,Dividend Yield,0.46,acc
2,20D Avg Volume,532493,acc
3,20D Avg Delivery(%),--,acc
4,Sector PE,46.96,acc
5,Book Value Per Share,752.89,acc
0,Open,- -,acc
1,Previous Close,- -,acc
2,Volume,- -,acc
3,Value(lacs),- -,acc
0,High,- -,acc
1,Low,- -,acc
2,ATP,- -,acc
3,Spot,- -,acc
0,Open,714.8,ausmallfinancebank
1,Previous Close,713.5,ausmallfinancebank
2,Volume,855484.0,ausmallfinancebank
3,Value (Lacs),6029.45,ausmallfinancebank
4,i  VWAP,707.46,ausmallfinancebank
5,Beta,,ausmallfinancebank
0,High,714.8,ausmallfinancebank
1,Low,702.1,ausmallfinancebank
2,UC Limit,784.85,ausmallfinancebank
3,LC Limit,642.15,ausmallfinancebank
4,52 Week High,795.0,ausmallfinancebank
5,52 Week Low,548.0,ausmallfinancebank
0,TTM EPS See historical trend,0.00  (+22.14% YoY),ausmallfinancebank
1,TTM PE See historical trend,--  (Low PE),ausmallfinancebank
2,P/B See historical trend,17.60 (Low P/B),ausmallfinancebank
3,Face Value,10.00,ausmallfinancebank
0,Mkt Cap (Rs. Cr.),47097,ausmallfinancebank
1,Dividend Yield,0.14,ausmallfinancebank
2,20D Avg Volume,1703845,ausmallfinancebank
3,20D Avg Delivery(%),--,ausmallfinancebank
4,Sector PE,23.74,ausmallfinancebank
5,Book Value Per Share,40.06,ausmallfinancebank
0,Open,- -,ausmallfinancebank
1,Previous Close,- -,ausmallfinancebank
2,Volume,- -,ausmallfinancebank
3,Value(lacs),- -,ausmallfinancebank
0,High,- -,ausmallfinancebank
1,Low,- -,ausmallfinancebank
2,ATP,- -,ausmallfinancebank
3,Spot,- -,ausmallfinancebank
0,Open,493.5,aartiindustries
1,Previous Close,491.4,aartiindustries
2,Volume,859191.0,aartiindustries
3,Value (Lacs),4216.48,aartiindustries
4,i  VWAP,489.77,aartiindustries
5,Beta,,aartiindustries
0,High,494.6,aartiindustries
1,Low,486.75,aartiindustries
2,UC Limit,540.5,aartiindustries
3,LC Limit,442.3,aartiindustries
4,52 Week High,807.9,aartiindustries
5,52 Week Low,445.0,aartiindustries
0,TTM EPS See historical trend,13.24  (-63.95% YoY),aartiindustries
1,TTM PE See historical trend,37.07  (Average PE),aartiindustries
2,P/B See historical trend,3.62 (Low P/B),aartiindustries
3,Face Value,5.00,aartiindustries
0,Mkt Cap (Rs. Cr.),17790,aartiindustries
1,Dividend Yield,0.51,aartiindustries
2,20D Avg Volume,1735503,aartiindustries
3,20D Avg Delivery(%),--,aartiindustries
4,Sector PE,51.84,aartiindustries
5,Book Value Per Share,135.72,aartiindustries
0,Open,- -,aartiindustries
1,Previous Close,- -,aartiindustries
2,Volume,- -,aartiindustries
3,Value(lacs),- -,aartiindustries
0,High,- -,aartiindustries
1,Low,- -,aartiindustries
2,ATP,- -,aartiindustries
3,Spot,- -,aartiindustries
0,Open,23244.95,abbottindia
1,Previous Close,23179.45,abbottindia
2,Volume,13820.0,abbottindia
3,Value (Lacs),3195.43,abbottindia
4,i  VWAP,23099.11,abbottindia
5,Beta,,abbottindia
0,High,23300.0,abbottindia
1,Low,22732.0,abbottindia
2,UC Limit,25497.35,abbottindia
3,LC Limit,20861.5,abbottindia
4,52 Week High,24744.25,abbottindia
5,52 Week Low,18000.0,abbottindia
0,TTM EPS See historical trend,0.00  (+27.88% YoY),abbottindia
1,TTM PE See historical trend,--  (Low PE),abbottindia
2,P/B See historical trend,0.00 (High P/B),abbottindia
3,Face Value,10.00,abbottindia
0,Mkt Cap (Rs. Cr.),49132,abbottindia
1,Dividend Yield,1.41,abbottindia
2,20D Avg Volume,14294,abbottindia
3,20D Avg Delivery(%),--,abbottindia
4,Sector PE,44.47,abbottindia
5,Book Value Per Share,--,abbottindia
0,Open,- -,abbottindia
1,Previous Close,- -,abbottindia
2,Volume,- -,abbottindia
3,Value(lacs),- -,abbottindia
0,High,- -,abbottindia
1,Low,- -,abbottindia
2,ATP,- -,abbottindia
3,Spot,- -,abbottindia
