,0,1,2,3,4,5,6,Year,Stock
0,Balance Sheet of Astral Limited (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2018,astrallimited
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2018,astrallimited
2,EQUITIES AND LIABILITIES,,,,,,,2018,astrallimited
3,SHAREHOLDER'S FUNDS,,,,,,,2018,astrallimited
4,Equity Share Capital,26.90,20.10,20.10,15.10,11.98,,2018,astrallimited
5,Total Share Capital,26.90,20.10,20.10,15.10,11.98,,2018,astrallimited
6,Reserves and Surplus,2681.10,2314.00,1874.00,1485.50,1264.48,,2018,astrallimited
7,Total Reserves and Surplus,2682.30,2315.20,1875.20,1486.70,1265.69,,2018,astrallimited
8,Total Shareholders Funds,2711.20,2336.60,1895.80,1502.90,1277.67,,2018,astrallimited
9,Minority Interest,247.70,27.80,21.20,16.80,15.02,,2018,astrallimited
10,NON-CURRENT LIABILITIES,,,,,,,2018,astrallimited
11,Long Term Borrowings,31.60,32.80,16.80,106.90,163.08,,2018,astrallimited
12,Deferred Tax Liabilities [Net],40.90,40.10,40.10,43.00,53.35,,2018,astrallimited
13,Other Long Term Liabilities,4.90,7.30,7.90,2.10,0.00,,2018,astrallimited
14,Long Term Provisions,3.10,1.70,2.70,2.70,3.09,,2018,astrallimited
15,Total Non-Current Liabilities,80.50,81.90,67.50,154.70,219.52,,2018,astrallimited
16,CURRENT LIABILITIES,,,,,,,2018,astrallimited
17,Short Term Borrowings,45.70,52.30,22.90,20.10,30.38,,2018,astrallimited
18,Trade Payables,800.00,748.40,517.20,475.40,389.73,,2018,astrallimited
19,Other Current Liabilities,485.40,138.40,144.00,115.40,164.04,,2018,astrallimited
20,Short Term Provisions,2.60,1.80,4.20,3.90,2.90,,2018,astrallimited
21,Total Current Liabilities,1333.70,940.90,688.30,614.80,587.05,,2018,astrallimited
22,Total Capital And Liabilities,4373.10,3387.20,2672.80,2289.20,2099.27,,2018,astrallimited
23,ASSETS,,,,,,,2018,astrallimited
24,NON-CURRENT ASSETS,,,,,,,2018,astrallimited
25,Tangible Assets,1456.70,1216.00,1028.00,964.10,809.57,,2018,astrallimited
26,Intangible Assets,181.30,23.30,29.50,35.50,42.10,,2018,astrallimited
27,Capital Work-In-Progress,126.10,123.20,56.60,44.40,80.77,,2018,astrallimited
28,Fixed Assets,1764.10,1362.50,1114.10,1044.00,932.44,,2018,astrallimited
29,Non-Current Investments,0.00,0.00,0.00,0.20,0.15,,2018,astrallimited
30,Deferred Tax Assets [Net],11.00,0.30,0.10,0.10,0.07,,2018,astrallimited
31,Long Term Loans And Advances,0.20,0.10,0.00,7.00,6.87,,2018,astrallimited
32,Other Non-Current Assets,36.10,22.50,32.60,19.60,34.74,,2018,astrallimited
33,Total Non-Current Assets,2123.90,1642.10,1403.80,1326.20,1228.05,,2018,astrallimited
34,CURRENT ASSETS,,,,,,,2018,astrallimited
35,Current Investments,0.00,0.00,0.00,0.00,0.00,,2018,astrallimited
36,Inventories,874.60,733.40,472.10,540.40,395.80,,2018,astrallimited
37,Trade Receivables,354.50,269.10,276.70,227.80,339.09,,2018,astrallimited
38,Cash And Cash Equivalents,682.10,641.80,476.00,130.10,98.14,,2018,astrallimited
39,Short Term Loans And Advances,20.60,0.40,0.30,0.20,0.46,,2018,astrallimited
40,OtherCurrentAssets,317.40,100.40,43.90,64.50,37.74,,2018,astrallimited
41,Total Current Assets,2249.20,1745.10,1269.00,963.00,871.23,,2018,astrallimited
42,Total Assets,4373.10,3387.20,2672.80,2289.20,2099.27,,2018,astrallimited
43,OTHER ADDITIONAL INFORMATION,,,,,,,2018,astrallimited
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,2018,astrallimited
45,Contingent Liabilities,183.20,213.40,246.40,154.30,214.00,,2018,astrallimited
46,BONUS DETAILS,,,,,,,2018,astrallimited
47,Bonus Equity Share Capital,18.92,12.22,12.22,7.22,4.22,,2018,astrallimited
48,NON-CURRENT INVESTMENTS,,,,,,,2018,astrallimited
49,Non-Current Investments Quoted Market Value,0.00,0.00,0.00,0.00,0.00,,2018,astrallimited
50,Non-Current Investments Unquoted Book Value,0.00,0.00,0.00,0.00,0.00,,2018,astrallimited
51,CURRENT INVESTMENTS,,,,,,,2018,astrallimited
52,Current Investments Quoted Market Value,0.00,0.00,0.00,0.00,0.00,,2018,astrallimited
53,Current Investments Unquoted Book Value,0.00,0.00,0.00,0.00,0.00,,2018,astrallimited
0,Balance Sheet of Astral Limited (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2019,astrallimited
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2019,astrallimited
2,EQUITIES AND LIABILITIES,,,,,,,2019,astrallimited
3,SHAREHOLDER'S FUNDS,,,,,,,2019,astrallimited
4,Equity Share Capital,26.90,20.10,20.10,15.10,11.98,,2019,astrallimited
5,Total Share Capital,26.90,20.10,20.10,15.10,11.98,,2019,astrallimited
6,Reserves and Surplus,2681.10,2314.00,1874.00,1485.50,1264.48,,2019,astrallimited
7,Total Reserves and Surplus,2682.30,2315.20,1875.20,1486.70,1265.69,,2019,astrallimited
8,Total Shareholders Funds,2711.20,2336.60,1895.80,1502.90,1277.67,,2019,astrallimited
9,Minority Interest,247.70,27.80,21.20,16.80,15.02,,2019,astrallimited
10,NON-CURRENT LIABILITIES,,,,,,,2019,astrallimited
11,Long Term Borrowings,31.60,32.80,16.80,106.90,163.08,,2019,astrallimited
12,Deferred Tax Liabilities [Net],40.90,40.10,40.10,43.00,53.35,,2019,astrallimited
13,Other Long Term Liabilities,4.90,7.30,7.90,2.10,0.00,,2019,astrallimited
14,Long Term Provisions,3.10,1.70,2.70,2.70,3.09,,2019,astrallimited
15,Total Non-Current Liabilities,80.50,81.90,67.50,154.70,219.52,,2019,astrallimited
16,CURRENT LIABILITIES,,,,,,,2019,astrallimited
17,Short Term Borrowings,45.70,52.30,22.90,20.10,30.38,,2019,astrallimited
18,Trade Payables,800.00,748.40,517.20,475.40,389.73,,2019,astrallimited
19,Other Current Liabilities,485.40,138.40,144.00,115.40,164.04,,2019,astrallimited
20,Short Term Provisions,2.60,1.80,4.20,3.90,2.90,,2019,astrallimited
21,Total Current Liabilities,1333.70,940.90,688.30,614.80,587.05,,2019,astrallimited
22,Total Capital And Liabilities,4373.10,3387.20,2672.80,2289.20,2099.27,,2019,astrallimited
23,ASSETS,,,,,,,2019,astrallimited
24,NON-CURRENT ASSETS,,,,,,,2019,astrallimited
25,Tangible Assets,1456.70,1216.00,1028.00,964.10,809.57,,2019,astrallimited
26,Intangible Assets,181.30,23.30,29.50,35.50,42.10,,2019,astrallimited
27,Capital Work-In-Progress,126.10,123.20,56.60,44.40,80.77,,2019,astrallimited
28,Fixed Assets,1764.10,1362.50,1114.10,1044.00,932.44,,2019,astrallimited
29,Non-Current Investments,0.00,0.00,0.00,0.20,0.15,,2019,astrallimited
30,Deferred Tax Assets [Net],11.00,0.30,0.10,0.10,0.07,,2019,astrallimited
31,Long Term Loans And Advances,0.20,0.10,0.00,7.00,6.87,,2019,astrallimited
32,Other Non-Current Assets,36.10,22.50,32.60,19.60,34.74,,2019,astrallimited
33,Total Non-Current Assets,2123.90,1642.10,1403.80,1326.20,1228.05,,2019,astrallimited
34,CURRENT ASSETS,,,,,,,2019,astrallimited
35,Current Investments,0.00,0.00,0.00,0.00,0.00,,2019,astrallimited
36,Inventories,874.60,733.40,472.10,540.40,395.80,,2019,astrallimited
37,Trade Receivables,354.50,269.10,276.70,227.80,339.09,,2019,astrallimited
38,Cash And Cash Equivalents,682.10,641.80,476.00,130.10,98.14,,2019,astrallimited
39,Short Term Loans And Advances,20.60,0.40,0.30,0.20,0.46,,2019,astrallimited
40,OtherCurrentAssets,317.40,100.40,43.90,64.50,37.74,,2019,astrallimited
41,Total Current Assets,2249.20,1745.10,1269.00,963.00,871.23,,2019,astrallimited
42,Total Assets,4373.10,3387.20,2672.80,2289.20,2099.27,,2019,astrallimited
43,OTHER ADDITIONAL INFORMATION,,,,,,,2019,astrallimited
