,0,1,2,3,4,5,6,Stock
0,Cash Flow of ABB India (in Rs. Cr.),Dec 22,Dec 21,Dec 20,Dec 19,Dec 18,,abbindia
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,abbindia
2,Net Profit/Loss Before Extraordinary Items And Tax,1362.79,707.19,304.37,444.00,794.24,,abbindia
3,Net CashFlow From Operating Activities,741.94,649.24,318.22,666.87,625.46,,abbindia
4,Net Cash Used In Investing Activities,1826.22,-2007.87,442.44,-390.68,143.71,,abbindia
5,Net Cash Used From Financing Activities,-140.15,-126.83,-152.25,-146.72,-793.69,,abbindia
6,Foreign Exchange Gains / Losses,-0.24,-0.35,0.63,-6.96,7.73,,abbindia
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,abbindia
8,Net Inc/Dec In Cash And Cash Equivalents,2427.77,-1485.81,609.04,122.51,-16.79,,abbindia
9,Cash And Cash Equivalents Begin of Year,719.09,2203.95,1594.91,1472.40,1489.19,,abbindia
10,Cash And Cash Equivalents End Of Year,3146.86,718.14,2203.95,1594.91,1472.40,,abbindia
0,Cash Flow of ACC (in Rs. Cr.),Mar 23,Dec 21,Dec 20,Dec 19,Dec 18,,acc
1,,15 mths,12 mths,12 mths,12 mths,12 mths,,acc
2,Net Profit/Loss Before Extraordinary Items And Tax,1202.60,2506.38,1708.85,2052.52,1510.11,,acc
3,Net CashFlow From Operating Activities,-1235.08,2835.49,2219.19,2254.71,1117.54,,acc
4,Net Cash Used In Investing Activities,-4637.30,-988.01,-535.15,-321.66,-364.44,,acc
5,Net Cash Used From Financing Activities,-1237.71,-330.52,-327.36,-374.16,-380.46,,acc
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,acc
7,Adjustments On Amalgamation Merger Demerger Others,0.13,0.27,0.15,0.00,0.00,,acc
8,Net Inc/Dec In Cash And Cash Equivalents,-7109.96,1517.23,1356.83,1558.89,372.64,,acc
9,Cash And Cash Equivalents Begin of Year,7366.59,5849.36,4492.53,2933.64,2560.57,,acc
10,Cash And Cash Equivalents End Of Year,256.63,7366.59,5849.36,4492.53,2933.21,,acc
0,Cash Flow of AU Small Finance Bank (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,ausmallfinancebank
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,ausmallfinancebank
2,Net Profit/Loss Before Extraordinary Items And Tax,1864.64,1454.07,1458.51,674.78,381.81,,ausmallfinancebank
3,Net CashFlow From Operating Activities,5493.64,6848.98,5056.10,659.57,847.78,,ausmallfinancebank
4,Net Cash Used In Investing Activities,-4319.50,-4753.37,-989.74,-1267.45,-2304.59,,ausmallfinancebank
5,Net Cash Used From Financing Activities,2322.52,-948.44,-2654.70,2237.36,1435.79,,ausmallfinancebank
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,ausmallfinancebank
7,Net Inc/Dec In Cash And Cash Equivalents,3496.66,1147.18,1411.66,1629.49,-21.03,,ausmallfinancebank
8,Cash And Cash Equivalents Begin of Year,5928.52,4781.34,3369.68,1740.19,1761.22,,ausmallfinancebank
9,Cash And Cash Equivalents End Of Year,9425.17,5928.52,4781.34,3369.68,1740.19,,ausmallfinancebank
0,Cash Flow of Aarti Industries (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,aartiindustries
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,aartiindustries
2,Net Profit/Loss Before Extraordinary Items And Tax,611.10,1526.80,40.12,676.18,621.97,,aartiindustries
3,Net CashFlow From Operating Activities,1309.80,470.76,872.71,1102.06,736.20,,aartiindustries
4,Net Cash Used In Investing Activities,-1329.78,-1305.48,-1322.14,-1124.06,-797.00,,aartiindustries
5,Net Cash Used From Financing Activities,47.15,679.24,614.46,-534.91,832.93,,aartiindustries
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,aartiindustries
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,aartiindustries
8,Net Inc/Dec In Cash And Cash Equivalents,27.17,-155.48,165.03,-556.91,772.13,,aartiindustries
9,Cash And Cash Equivalents Begin of Year,173.56,412.32,247.29,804.20,32.07,,aartiindustries
10,Cash And Cash Equivalents End Of Year,200.73,256.84,412.32,247.29,804.20,,aartiindustries
0,Cash Flow of Abbott India (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,abbottindia
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,abbottindia
2,Net Profit/Loss Before Extraordinary Items And Tax,1273.82,1079.73,925.95,802.69,698.85,,abbottindia
3,Net CashFlow From Operating Activities,893.39,947.66,726.74,626.11,499.13,,abbottindia
4,Net Cash Used In Investing Activities,-147.71,-395.84,-71.82,-401.19,-257.00,,abbottindia
5,Net Cash Used From Financing Activities,-638.72,-637.38,-581.79,-216.79,-142.80,,abbottindia
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,abbottindia
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,abbottindia
8,Net Inc/Dec In Cash And Cash Equivalents,106.96,-85.56,73.13,8.13,99.33,,abbottindia
9,Cash And Cash Equivalents Begin of Year,132.71,218.27,145.14,137.01,37.68,,abbottindia
10,Cash And Cash Equivalents End Of Year,239.67,132.71,218.27,145.14,137.01,,abbottindia
0,Cash Flow of Adani Enterprises (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,adanienterprises
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,adanienterprises
2,Net Profit/Loss Before Extraordinary Items And Tax,3249.90,952.05,1085.97,1122.33,510.92,,adanienterprises
3,Net CashFlow From Operating Activities,17626.46,1385.28,4093.53,2453.56,3326.70,,adanienterprises
4,Net Cash Used In Investing Activities,-16860.09,-17487.38,-7902.39,-2322.97,1809.13,,adanienterprises
5,Net Cash Used From Financing Activities,-1197.52,15901.42,3058.59,-220.90,-6158.41,,adanienterprises
6,Foreign Exchange Gains / Losses,1401.25,446.76,-708.27,1241.12,677.78,,adanienterprises
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,-90.78,,adanienterprises
8,Net Inc/Dec In Cash And Cash Equivalents,970.10,246.08,-1458.54,1150.81,-435.58,,adanienterprises
9,Cash And Cash Equivalents Begin of Year,912.23,666.15,2124.69,973.88,1409.46,,adanienterprises
10,Cash And Cash Equivalents End Of Year,1882.33,912.23,666.15,2124.69,973.88,,adanienterprises
0,Cash Flow of Adani Ports and Special Economic Zone (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,adaniportsspecialeconomiczone
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,adaniportsspecialeconomiczone
2,Net Profit/Loss Before Extraordinary Items And Tax,5489.13,5541.16,6292.01,4243.92,5126.22,,adaniportsspecialeconomiczone
3,Net CashFlow From Operating Activities,11933.25,9800.22,7555.78,7401.81,6029.40,,adaniportsspecialeconomiczone
4,Net Cash Used In Investing Activities,-16938.80,-7211.61,-14142.67,-750.42,-4424.15,,adaniportsspecialeconomiczone
5,Net Cash Used From Financing Activities,-2733.80,2041.53,3513.85,-4255.63,2313.34,,adaniportsspecialeconomiczone
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,adaniportsspecialeconomiczone
7,Adjustments On Amalgamation Merger Demerger Others,0.00,-33.86,78.55,1.51,56.12,,adaniportsspecialeconomiczone
8,Net Inc/Dec In Cash And Cash Equivalents,-7739.35,4596.28,-2994.49,2397.27,3974.71,,adaniportsspecialeconomiczone
9,Cash And Cash Equivalents Begin of Year,8671.34,4023.52,7195.46,4798.19,823.48,,adaniportsspecialeconomiczone
10,Cash And Cash Equivalents End Of Year,931.99,8619.80,4200.97,7195.46,4798.19,,adaniportsspecialeconomiczone
0,Cash Flow of Aditya Birla Capital (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,adityabirlacapital
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,adityabirlacapital
2,Net Profit/Loss Before Extraordinary Items And Tax,5362.66,1945.82,1277.28,1038.81,1154.81,,adityabirlacapital
3,Net CashFlow From Operating Activities,-24028.59,-5069.51,-307.77,4270.98,-10255.81,,adityabirlacapital
4,Net Cash Used In Investing Activities,-2649.87,-1445.55,2429.08,-3069.55,-690.43,,adityabirlacapital
5,Net Cash Used From Financing Activities,26385.21,5836.44,-2580.62,874.71,10851.83,,adityabirlacapital
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,adityabirlacapital
7,Adjustments On Amalgamation Merger Demerger Others,-24.81,0.00,0.00,0.00,0.00,,adityabirlacapital
8,Net Inc/Dec In Cash And Cash Equivalents,-318.06,-678.62,-459.31,2076.14,-94.41,,adityabirlacapital
9,Cash And Cash Equivalents Begin of Year,2048.85,2727.47,2815.05,738.91,833.32,,adityabirlacapital
10,Cash And Cash Equivalents End Of Year,1730.79,2048.85,2355.74,2815.05,738.91,,adityabirlacapital
0,Cash Flow of Aditya Birla Fashion & Retail (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,adityabirlafashionretail
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,adityabirlafashionretail
2,Net Profit/Loss Before Extraordinary Items And Tax,-82.44,-144.93,-837.54,-32.89,149.10,,adityabirlafashionretail
3,Net CashFlow From Operating Activities,636.20,950.51,1103.80,644.04,527.61,,adityabirlafashionretail
4,Net Cash Used In Investing Activities,-387.23,-551.45,-855.22,-550.89,-276.55,,adityabirlafashionretail
5,Net Cash Used From Financing Activities,325.50,-526.97,-269.25,116.46,-266.43,,adityabirlafashionretail
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,adityabirlafashionretail
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,adityabirlafashionretail
