,0,1,2,3,4,5,6,Year,Stock
0,Cash Flow of Astral Limited (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2018,astrallimited
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2018,astrallimited
2,Net Profit/Loss Before Extraordinary Items And Tax,615.20,648.50,533.00,306.10,283.42,,2018,astrallimited
3,Net CashFlow From Operating Activities,556.90,543.10,664.10,405.40,341.98,,2018,astrallimited
4,Net Cash Used In Investing Activities,-479.70,71.50,-454.10,-317.70,-293.40,,2018,astrallimited
5,Net Cash Used From Financing Activities,-190.60,-44.00,-153.20,-163.00,-4.95,,2018,astrallimited
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,2018,astrallimited
7,Adjustments On Amalgamation Merger Demerger Others,1.60,0.00,0.00,0.00,2.09,,2018,astrallimited
8,Net Inc/Dec In Cash And Cash Equivalents,-111.80,570.60,56.80,-75.30,45.72,,2018,astrallimited
9,Cash And Cash Equivalents Begin of Year,641.30,70.70,13.90,89.20,43.49,,2018,astrallimited
10,Cash And Cash Equivalents End Of Year,529.50,641.30,70.70,13.90,89.21,,2018,astrallimited
0,Cash Flow of Astral Limited (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2019,astrallimited
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2019,astrallimited
2,Net Profit/Loss Before Extraordinary Items And Tax,615.20,648.50,533.00,306.10,283.42,,2019,astrallimited
3,Net CashFlow From Operating Activities,556.90,543.10,664.10,405.40,341.98,,2019,astrallimited
4,Net Cash Used In Investing Activities,-479.70,71.50,-454.10,-317.70,-293.40,,2019,astrallimited
5,Net Cash Used From Financing Activities,-190.60,-44.00,-153.20,-163.00,-4.95,,2019,astrallimited
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,2019,astrallimited
7,Adjustments On Amalgamation Merger Demerger Others,1.60,0.00,0.00,0.00,2.09,,2019,astrallimited
8,Net Inc/Dec In Cash And Cash Equivalents,-111.80,570.60,56.80,-75.30,45.72,,2019,astrallimited
9,Cash And Cash Equivalents Begin of Year,641.30,70.70,13.90,89.20,43.49,,2019,astrallimited
10,Cash And Cash Equivalents End Of Year,529.50,641.30,70.70,13.90,89.21,,2019,astrallimited
0,Cash Flow of Astral Limited (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2020,astrallimited
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2020,astrallimited
2,Net Profit/Loss Before Extraordinary Items And Tax,615.20,648.50,533.00,306.10,283.42,,2020,astrallimited
3,Net CashFlow From Operating Activities,556.90,543.10,664.10,405.40,341.98,,2020,astrallimited
4,Net Cash Used In Investing Activities,-479.70,71.50,-454.10,-317.70,-293.40,,2020,astrallimited
5,Net Cash Used From Financing Activities,-190.60,-44.00,-153.20,-163.00,-4.95,,2020,astrallimited
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,2020,astrallimited
7,Adjustments On Amalgamation Merger Demerger Others,1.60,0.00,0.00,0.00,2.09,,2020,astrallimited
8,Net Inc/Dec In Cash And Cash Equivalents,-111.80,570.60,56.80,-75.30,45.72,,2020,astrallimited
9,Cash And Cash Equivalents Begin of Year,641.30,70.70,13.90,89.20,43.49,,2020,astrallimited
10,Cash And Cash Equivalents End Of Year,529.50,641.30,70.70,13.90,89.21,,2020,astrallimited
0,Cash Flow of Astral Limited (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2021,astrallimited
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2021,astrallimited
2,Net Profit/Loss Before Extraordinary Items And Tax,615.20,648.50,533.00,306.10,283.42,,2021,astrallimited
3,Net CashFlow From Operating Activities,556.90,543.10,664.10,405.40,341.98,,2021,astrallimited
4,Net Cash Used In Investing Activities,-479.70,71.50,-454.10,-317.70,-293.40,,2021,astrallimited
5,Net Cash Used From Financing Activities,-190.60,-44.00,-153.20,-163.00,-4.95,,2021,astrallimited
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,2021,astrallimited
7,Adjustments On Amalgamation Merger Demerger Others,1.60,0.00,0.00,0.00,2.09,,2021,astrallimited
8,Net Inc/Dec In Cash And Cash Equivalents,-111.80,570.60,56.80,-75.30,45.72,,2021,astrallimited
9,Cash And Cash Equivalents Begin of Year,641.30,70.70,13.90,89.20,43.49,,2021,astrallimited
10,Cash And Cash Equivalents End Of Year,529.50,641.30,70.70,13.90,89.21,,2021,astrallimited
0,Cash Flow of Astral Limited (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2022,astrallimited
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2022,astrallimited
2,Net Profit/Loss Before Extraordinary Items And Tax,615.20,648.50,533.00,306.10,283.42,,2022,astrallimited
3,Net CashFlow From Operating Activities,556.90,543.10,664.10,405.40,341.98,,2022,astrallimited
4,Net Cash Used In Investing Activities,-479.70,71.50,-454.10,-317.70,-293.40,,2022,astrallimited
5,Net Cash Used From Financing Activities,-190.60,-44.00,-153.20,-163.00,-4.95,,2022,astrallimited
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,2022,astrallimited
7,Adjustments On Amalgamation Merger Demerger Others,1.60,0.00,0.00,0.00,2.09,,2022,astrallimited
8,Net Inc/Dec In Cash And Cash Equivalents,-111.80,570.60,56.80,-75.30,45.72,,2022,astrallimited
9,Cash And Cash Equivalents Begin of Year,641.30,70.70,13.90,89.20,43.49,,2022,astrallimited
10,Cash And Cash Equivalents End Of Year,529.50,641.30,70.70,13.90,89.21,,2022,astrallimited
0,Cash Flow of Astral Limited (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2023,astrallimited
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2023,astrallimited
2,Net Profit/Loss Before Extraordinary Items And Tax,615.20,648.50,533.00,306.10,283.42,,2023,astrallimited
3,Net CashFlow From Operating Activities,556.90,543.10,664.10,405.40,341.98,,2023,astrallimited
4,Net Cash Used In Investing Activities,-479.70,71.50,-454.10,-317.70,-293.40,,2023,astrallimited
5,Net Cash Used From Financing Activities,-190.60,-44.00,-153.20,-163.00,-4.95,,2023,astrallimited
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,2023,astrallimited
7,Adjustments On Amalgamation Merger Demerger Others,1.60,0.00,0.00,0.00,2.09,,2023,astrallimited
8,Net Inc/Dec In Cash And Cash Equivalents,-111.80,570.60,56.80,-75.30,45.72,,2023,astrallimited
9,Cash And Cash Equivalents Begin of Year,641.30,70.70,13.90,89.20,43.49,,2023,astrallimited
10,Cash And Cash Equivalents End Of Year,529.50,641.30,70.70,13.90,89.21,,2023,astrallimited
0,Cash Flow of Aarti Industries (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2018,aartiindustries
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2018,aartiindustries
2,Net Profit/Loss Before Extraordinary Items And Tax,611.10,1526.80,40.12,676.18,621.97,,2018,aartiindustries
3,Net CashFlow From Operating Activities,1309.80,470.76,872.71,1102.06,736.20,,2018,aartiindustries
4,Net Cash Used In Investing Activities,-1329.78,-1305.48,-1322.14,-1124.06,-797.00,,2018,aartiindustries
5,Net Cash Used From Financing Activities,47.15,679.24,614.46,-534.91,832.93,,2018,aartiindustries
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,2018,aartiindustries
