,0,1,2,3,4,5,6,Stock
0,Cash Flow of Astral Limited (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,astrallimited
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,astrallimited
2,Net Profit/Loss Before Extraordinary Items And Tax,615.20,648.50,533.00,306.10,283.42,,astrallimited
3,Net CashFlow From Operating Activities,556.90,543.10,664.10,405.40,341.98,,astrallimited
4,Net Cash Used In Investing Activities,-479.70,71.50,-454.10,-317.70,-293.40,,astrallimited
5,Net Cash Used From Financing Activities,-190.60,-44.00,-153.20,-163.00,-4.95,,astrallimited
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,astrallimited
7,Adjustments On Amalgamation Merger Demerger Others,1.60,0.00,0.00,0.00,2.09,,astrallimited
8,Net Inc/Dec In Cash And Cash Equivalents,-111.80,570.60,56.80,-75.30,45.72,,astrallimited
9,Cash And Cash Equivalents Begin of Year,641.30,70.70,13.90,89.20,43.49,,astrallimited
10,Cash And Cash Equivalents End Of Year,529.50,641.30,70.70,13.90,89.21,,astrallimited
0,Cash Flow of Aarti Industries (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,aartiindustries
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,aartiindustries
2,Net Profit/Loss Before Extraordinary Items And Tax,611.10,1526.80,40.12,676.18,621.97,,aartiindustries
3,Net CashFlow From Operating Activities,1309.80,470.76,872.71,1102.06,736.20,,aartiindustries
4,Net Cash Used In Investing Activities,-1329.78,-1305.48,-1322.14,-1124.06,-797.00,,aartiindustries
5,Net Cash Used From Financing Activities,47.15,679.24,614.46,-534.91,832.93,,aartiindustries
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,aartiindustries
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,aartiindustries
8,Net Inc/Dec In Cash And Cash Equivalents,27.17,-155.48,165.03,-556.91,772.13,,aartiindustries
9,Cash And Cash Equivalents Begin of Year,173.56,412.32,247.29,804.20,32.07,,aartiindustries
10,Cash And Cash Equivalents End Of Year,200.73,256.84,412.32,247.29,804.20,,aartiindustries
0,Cash Flow of Balrampur Chini Mills (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,balrampurchinimills
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,balrampurchinimills
2,Net Profit/Loss Before Extraordinary Items And Tax,396.68,587.98,589.58,560.25,595.03,,balrampurchinimills
3,Net CashFlow From Operating Activities,452.92,694.65,648.97,849.61,-523.01,,balrampurchinimills
4,Net Cash Used In Investing Activities,-858.75,-309.39,-81.13,-304.71,-159.20,,balrampurchinimills
5,Net Cash Used From Financing Activities,405.83,-385.39,-568.89,-545.52,681.88,,balrampurchinimills
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,balrampurchinimills
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,balrampurchinimills
8,Net Inc/Dec In Cash And Cash Equivalents,-0.01,-0.12,-1.05,-0.63,-0.33,,balrampurchinimills
9,Cash And Cash Equivalents Begin of Year,0.32,0.45,1.49,2.12,2.45,,balrampurchinimills
10,Cash And Cash Equivalents End Of Year,0.31,0.32,0.45,1.49,2.12,,balrampurchinimills
0,Cash Flow of Bharti Airtel (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,bhartiairtel
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,bhartiairtel
2,Net Profit/Loss Before Extraordinary Items And Tax,16560.70,12483.10,-3118.40,-42846.50,-1731.80,,bhartiairtel
3,Net CashFlow From Operating Activities,65324.60,55016.60,48205.00,18128.70,20070.20,,bhartiairtel
4,Net Cash Used In Investing Activities,-39080.20,-41869.60,-26888.40,-30491.90,-28500.90,,bhartiairtel
5,Net Cash Used From Financing Activities,-24469.50,-15203.20,-24910.30,19144.40,9463.80,,bhartiairtel
6,Foreign Exchange Gains / Losses,-152.20,391.90,-397.20,893.40,215.30,,bhartiairtel
7,Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,,bhartiairtel
8,Net Inc/Dec In Cash And Cash Equivalents,1622.70,-1664.30,-3990.90,7674.60,1248.40,,bhartiairtel
9,Cash And Cash Equivalents Begin of Year,7398.70,9063.00,13053.90,5379.30,4130.90,,bhartiairtel
10,Cash And Cash Equivalents End Of Year,9021.40,7398.70,9063.00,13053.90,5379.30,,bhartiairtel
0,Cash Flow of Bharat Heavy Electricals (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,bharatheavyelectricals
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,bharatheavyelectricals
2,Net Profit/Loss Before Extraordinary Items And Tax,479.44,470.46,-3595.93,-659.07,1839.74,,bharatheavyelectricals
3,Net CashFlow From Operating Activities,-741.52,660.25,561.60,-2891.50,-3860.15,,bharatheavyelectricals
4,Net Cash Used In Investing Activities,1480.46,-1125.32,-42.50,1877.06,1918.85,,bharatheavyelectricals
5,Net Cash Used From Financing Activities,88.96,-329.49,-395.80,1621.99,-31.64,,bharatheavyelectricals
6,Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,,bharatheavyelectricals
7,Adjustments On Amalgamation Merger Demerger Others,0.00,7.28,0.00,0.00,0.00,,bharatheavyelectricals
8,Net Inc/Dec In Cash And Cash Equivalents,827.90,-787.28,123.30,607.55,-1972.94,,bharatheavyelectricals
9,Cash And Cash Equivalents Begin of Year,732.62,1519.90,1396.60,789.05,2768.68,,bharatheavyelectricals
10,Cash And Cash Equivalents End Of Year,1560.52,732.62,1519.90,1396.60,795.74,,bharatheavyelectricals
0,Cash Flow of Britannia Industries (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,britanniaindustries
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,britanniaindustries
2,Net Profit/Loss Before Extraordinary Items And Tax,3027.36,2078.53,2512.80,1843.86,1768.90,,britanniaindustries
3,Net CashFlow From Operating Activities,2526.21,1299.52,1851.07,1484.53,1155.78,,britanniaindustries
4,Net Cash Used In Investing Activities,-1517.06,910.89,461.26,-1531.62,-855.53,,britanniaindustries
