,date,heading,text,SourceTag
0,"October 01, 2023 09:09 PM IST",RPSG group's Guiltfree faces Rs 39 crore GST demand notice,"Informing the bourses, the company said the show cause cum demand notice came from the Kolkata zone office. This notice amount also includes interest and penalties.",buss_news1
1,"October 01, 2023 08:56 PM IST",Federal student loan payments are starting again. Here's what you need to know,"If you have student loans and haven't made a payment in the last three years, don't panic. Here's what experts recommend:",buss_news1
2,"October 01, 2023 09:05 PM IST",Dalai Lama cancels sermons after doctors advice him rest,"On the advice of His Holiness the Dalai Lama's personal physicians, His Holiness will take rest due to a persistent cold,""a statement said.",buss_news1
3,"October 01, 2023 08:29 PM IST",Fire at nightclub in Spain's southeastern city of Murcia kills 13,"The fire started around 6 am in the popular Teatre nightclub and quickly tore through the venue, according to Spain's state news agency EFE.",buss_news1
4,"October 01, 2023 08:17 PM IST","Number of students in Delhi govt schools decreases by over 30,000: RTI reply","After the COVID-19 pandemic, the number of students in government schools in 2022-23 academic session was 17,89,385, while this academic year it decreased to 17,58,986, which is 30,399 less than the previous session.",buss_news1
5,"October 01, 2023 08:07 PM IST",UltraTech Cement Q2 sales up 15% to 26.69 MT,"The company produced 23.10 MT cement in July-September period a year ago, the Aditya Birla Group firm said in a sales volume data filed on bourses.",buss_news1
6,"October 01, 2023 07:57 PM IST",Asian Games: India sign off with first-ever team silver in Badminton after losing to China in final,"The former world No. 1, who had produced a gritty show against South Korea in the semifinals, couldn't go the distance this time despite a healthy lead and multiple game points as China fought back to make it 1-2.",buss_news1
7,"October 01, 2023 07:49 PM IST",Maldives’ new pro-China govt. may not be anti-India,"But for India, keeping out a pro-China regime in Maldives is extremely important. The archipelago is barely 70 nautical miles away from the Lakshadweep islands and India’s west coast.",buss_news1
8,"October 01, 2023 07:36 PM IST",Saraswati Saree Depot files draft papers to raise funds via IPO,Saraswati Saree Depot IPO: The IPO comprises a fresh issue of 72.45 lakh equity shares and an offer-for-sale (OFS) of 35.55 lakh shares by the promoter group,buss_news1
9,"October 01, 2023 07:32 PM IST",Ajay Maken appointed Congress' new treasurer,Maken is considered a close confidant of Rahul Gandhi and was without any post ever since he resigned as Congress general secretary in charge of Rajasthan a few months ago.,buss_news1
10,"October 01, 2023 07:12 PM IST","Tata Motors total sales in domestic market rise 2% to 80,633 units in September","Passenger vehicle sales in the domestic market, including electric vehicles, were down 6 per cent at 44,809 units last month, as compared to 47,654 units in September 2022, Tata Motors said in a regulatory filing.",buss_news1
11,"October 01, 2023 06:21 PM IST","London on cusp of becoming biggest Stock Market in Europe, again","The combined dollar-based market capitalization of primary British listings stands now at $2.90 trillion versus France’s $2.93 trillion, according to an index compiled by Bloomberg.",buss_news1
12,"October 01, 2023 05:58 PM IST",UAE oil giant doubles carbon capture target ahead of COP Summit,"Abu Dhabi National Oil Co. plans to capture 10 million tons of carbon dioxide emissions annually by 2030, up from a previous target of 5 million tons, according to a statement.",buss_news1
13,"October 01, 2023 05:40 PM IST",India allows Nepal to sell electricity in the real time market,It is for the first time that India granted project-wise approval ensuring that Nepal could sell hydroelectricity in Indias Real-Time Market (RTM).,buss_news1
14,"October 01, 2023 05:26 PM IST",Param Capital's Asha Mukul Agrawal buys 3 luxury flats in Mumbai for Rs 263 crore,"These apartments are located in Lodha Malabar in Mumbai's Malabar Hill, and have been bought from Macrotech Developers",buss_news1
15,"October 01, 2023 04:56 PM IST",Cost optimisation deals to drive of 45-50 percent of IT revenues in FY23-24,"Deal closure timelines for the top 20 global IT services firms have gone up by 15-20 percent in FY23-24 compared to 2020 and 2021, according to UnearthInsight.",buss_news1
16,"October 01, 2023 04:37 PM IST","BYJU'S targets to reach break-even by March, hive off Epic","The company has undertaken exercise to reduce workforce by about 3,000-3,500 this month by ending duplication in roles across the organisation.",buss_news1
17,"October 01, 2023 04:12 PM IST",Resolutions under insolvency law likely to touch 300 this fiscal; efforts on to speed up process: Officials,"Under the Insolvency and Bankruptcy Code (IBC), which provides for a market-linked and time-bound resolution process of stressed assets, creditors have witnessed recoveries of nearly Rs 3 lakh crore so far, and the recovery amount stood at more than Rs 51,000 crore in 2022-23 financial year.",buss_news1
18,"October 01, 2023 04:10 PM IST","Commodity investors to focus on US labour report, speeches by several FOMC officials including Fed Chair next week",Investors will focus on speeches by several FOMC officials including Fed Chair next week.,buss_news1
19,"October 01, 2023 03:46 PM IST","Hyundai reports highest ever monthly sales in September at 71,641 units","Domestic sales last month rose to 54,241 units, up 9 per cent from 49,700 units in September 2022, Hyundai Motor India said in a statement.",buss_news1
20,"October 01, 2023 05:37 PM IST",L&T's new Chairman Subrahmanyan asks staff to be ready for 'massive changes' in ecosystem,"In his first letter to the employees after taking over as chairman and MD, S N Subrahmanyan said that the company must continue to be inspired to re-invent and engineer the future",buss_news1
21,"October 01, 2023 03:55 PM IST","GST collections rise at Rs 1.63 lakh crore in September, up 10.2% YoY",This is the seventh month in a row that the monthly Goods and Services Tax mop-up has come in above the Rs 1.5-lakh-crore mark,buss_news1
22,"October 01, 2023 03:35 PM IST","Luminous Power aims to double growth in 4 years; to invest Rs 2,000 crore","Luminous Power, now completely owned by French engineering company Schneider Electric, has plans to invest around Rs 2,000 crore in capacity expansion of its existing plants, a solar greenfield project, research and development (R&D), digitisation, brand building and channel engagements.",buss_news1
