,Value,Num,Stock
0,Open,4302.0,abbindia
1,Previous Close,4320.3,abbindia
2,Volume,275335.0,abbindia
3,Value (Lacs),11919.39,abbindia
4,i  VWAP,4363.46,abbindia
5,Beta,,abbindia
0,High,4427.9,abbindia
1,Low,4285.1,abbindia
2,UC Limit,4752.3,abbindia
3,LC Limit,3888.3,abbindia
4,52 Week High,4678.0,abbindia
5,52 Week Low,2640.0,abbindia
0,TTM EPS See historical trend,0.00  (+27.02% YoY),abbindia
1,TTM PE See historical trend,--  (Average PE),abbindia
2,P/B See historical trend,35.26 (High P/B),abbindia
3,Face Value,2.00,abbindia
0,Mkt Cap (Rs. Cr.),91736,abbindia
1,Dividend Yield,0.13,abbindia
2,20D Avg Volume,276229,abbindia
3,20D Avg Delivery(%),--,abbindia
4,Sector PE,76.06,abbindia
5,Book Value Per Share,122.77,abbindia
0,Open,- -,abbindia
1,Previous Close,- -,abbindia
2,Volume,- -,abbindia
3,Value(lacs),- -,abbindia
0,High,- -,abbindia
1,Low,- -,abbindia
2,ATP,- -,abbindia
3,Spot,- -,abbindia
0,Open,2006.0,acc
1,Previous Close,2006.7,acc
2,Volume,254921.0,acc
3,Value (Lacs),5046.93,acc
4,i  VWAP,1981.98,acc
5,Beta,,acc
0,High,2006.7,acc
1,Low,1968.0,acc
2,UC Limit,2207.35,acc
3,LC Limit,1806.05,acc
4,52 Week High,2762.0,acc
5,52 Week Low,1592.35,acc
0,TTM EPS See historical trend,38.74  (-46.24% YoY),acc
1,TTM PE See historical trend,51.10  (Average PE),acc
2,P/B See historical trend,2.60 (Average P/B),acc
3,Face Value,10.00,acc
0,Mkt Cap (Rs. Cr.),37178,acc
1,Dividend Yield,0.47,acc
2,20D Avg Volume,941512,acc
3,20D Avg Delivery(%),--,acc
4,Sector PE,48.24,acc
5,Book Value Per Share,762.14,acc
0,Open,- -,acc
1,Previous Close,- -,acc
2,Volume,- -,acc
3,Value(lacs),- -,acc
0,High,- -,acc
1,Low,- -,acc
2,ATP,- -,acc
3,Spot,- -,acc
0,Open,727.6,ausmallfinancebank
1,Previous Close,729.05,ausmallfinancebank
2,Volume,4544074.0,ausmallfinancebank
3,Value (Lacs),34328.21,ausmallfinancebank
4,i  VWAP,748.99,ausmallfinancebank
5,Beta,,ausmallfinancebank
0,High,759.2,ausmallfinancebank
1,Low,725.25,ausmallfinancebank
2,UC Limit,801.95,ausmallfinancebank
3,LC Limit,656.15,ausmallfinancebank
4,52 Week High,795.0,ausmallfinancebank
5,52 Week Low,548.0,ausmallfinancebank
0,TTM EPS See historical trend,0.00  (+22.19% YoY),ausmallfinancebank
1,TTM PE See historical trend,--  (Average PE),ausmallfinancebank
2,P/B See historical trend,18.04 (Low P/B),ausmallfinancebank
3,Face Value,10.00,ausmallfinancebank
0,Mkt Cap (Rs. Cr.),50464,ausmallfinancebank
1,Dividend Yield,0.13,ausmallfinancebank
2,20D Avg Volume,1711843,ausmallfinancebank
3,20D Avg Delivery(%),--,ausmallfinancebank
4,Sector PE,24.65,ausmallfinancebank
5,Book Value Per Share,41.88,ausmallfinancebank
0,Open,- -,ausmallfinancebank
1,Previous Close,- -,ausmallfinancebank
2,Volume,- -,ausmallfinancebank
3,Value(lacs),- -,ausmallfinancebank
0,High,- -,ausmallfinancebank
1,Low,- -,ausmallfinancebank
2,ATP,- -,ausmallfinancebank
3,Spot,- -,ausmallfinancebank
0,Open,511.95,aartiindustries
1,Previous Close,511.95,aartiindustries
2,Volume,991142.0,aartiindustries
3,Value (Lacs),5031.53,aartiindustries
4,i  VWAP,508.34,aartiindustries
5,Beta,,aartiindustries
0,High,514.75,aartiindustries
1,Low,503.85,aartiindustries
2,UC Limit,563.1,aartiindustries
3,LC Limit,460.75,aartiindustries
4,52 Week High,897.4,aartiindustries
5,52 Week Low,445.0,aartiindustries
0,TTM EPS See historical trend,13.24  (-63.95% YoY),aartiindustries
1,TTM PE See historical trend,38.34  (Average PE),aartiindustries
2,P/B See historical trend,6.16 (Average P/B),aartiindustries
3,Face Value,5.00,aartiindustries
0,Mkt Cap (Rs. Cr.),18403,aartiindustries
1,Dividend Yield,0.49,aartiindustries
2,20D Avg Volume,2121278,aartiindustries
3,20D Avg Delivery(%),--,aartiindustries
4,Sector PE,53.09,aartiindustries
5,Book Value Per Share,82.39,aartiindustries
0,Open,- -,aartiindustries
1,Previous Close,- -,aartiindustries
2,Volume,- -,aartiindustries
3,Value(lacs),- -,aartiindustries
0,High,- -,aartiindustries
1,Low,- -,aartiindustries
2,ATP,- -,aartiindustries
3,Spot,- -,aartiindustries
0,Open,23299.95,abbottindia
1,Previous Close,23308.35,abbottindia
2,Volume,4759.0,abbottindia
3,Value (Lacs),1103.68,abbottindia
4,i  VWAP,23224.99,abbottindia
5,Beta,,abbottindia
0,High,23365.05,abbottindia
1,Low,23137.4,abbottindia
2,UC Limit,25639.15,abbottindia
3,LC Limit,20977.55,abbottindia
4,52 Week High,24744.25,abbottindia
5,52 Week Low,17325.0,abbottindia
0,TTM EPS See historical trend,0.00  (+27.88% YoY),abbottindia
1,TTM PE See historical trend,--  (Low PE),abbottindia
2,P/B See historical trend,0.00 (High P/B),abbottindia
3,Face Value,10.00,abbottindia
0,Mkt Cap (Rs. Cr.),49280,abbottindia
1,Dividend Yield,1.40,abbottindia
2,20D Avg Volume,13434,abbottindia
3,20D Avg Delivery(%),--,abbottindia
4,Sector PE,44.47,abbottindia
