,0,1,2,3,Stock,4,5,6
0,Yearly Results of ABB India (in Rs. Cr.),Dec '12,Dec '11,,abbindia,,,
1,Net Sales/Income from operations,7513.68,7372.73,,abbindia,,,
2,Other Operating Income,96.80,79.06,,abbindia,,,
3,Total Income From Operations,7610.48,7451.79,,abbindia,,,
4,EXPENDITURE,,,,abbindia,,,
5,Consumption of Raw Materials,4685.72,4725.08,,abbindia,,,
6,Purchase of Traded Goods,294.53,322.18,,abbindia,,,
7,Increase/Decrease in Stocks,-0.06,-85.01,,abbindia,,,
8,Power & Fuel,--,--,,abbindia,,,
9,Employees Cost,623.96,587.21,,abbindia,,,
10,Depreciation,94.17,79.55,,abbindia,,,
11,Excise Duty,--,--,,abbindia,,,
12,Admin. And Selling Expenses,--,--,,abbindia,,,
13,R & D Expenses,--,--,,abbindia,,,
14,Provisions And Contingencies,--,--,,abbindia,,,
15,Exp. Capitalised,--,--,,abbindia,,,
16,Other Expenses,1664.75,1565.26,,abbindia,,,
17,"P/L Before Other Inc., Int., Excpt. Items & Tax",247.41,257.52,,abbindia,,,
18,Other Income,7.26,41.15,,abbindia,,,
19,"P/L Before Int., Excpt. Items & Tax",254.67,298.67,,abbindia,,,
20,Interest,43.24,30.68,,abbindia,,,
21,P/L Before Exceptional Items & Tax,211.43,267.99,,abbindia,,,
22,Exceptional Items,--,--,,abbindia,,,
23,P/L Before Tax,211.43,267.99,,abbindia,,,
24,Tax,70.49,83.28,,abbindia,,,
25,P/L After Tax from Ordinary Activities,140.94,184.71,,abbindia,,,
26,Prior Year Adjustments,--,--,,abbindia,,,
27,Extra Ordinary Items,--,--,,abbindia,,,
28,Net Profit/(Loss) For the Period,140.94,184.71,,abbindia,,,
29,Minority Interest,--,--,,abbindia,,,
30,Share Of P/L Of Associates,--,--,,abbindia,,,
31,Net P/L After M.I & Associates,140.94,184.71,,abbindia,,,
32,Equity Share Capital,42.38,42.38,,abbindia,,,
33,Reserves Excluding Revaluation Reserves,2559.26,2492.20,,abbindia,,,
34,Equity Dividend Rate (%),--,--,,abbindia,,,
35,EPS Before Extra Ordinary,,,,abbindia,,,
36,Basic EPS,6.65,8.72,,abbindia,,,
37,Diluted EPS,6.65,8.72,,abbindia,,,
38,EPS After Extra Ordinary,,,,abbindia,,,
39,Basic EPS.,6.65,8.72,,abbindia,,,
40,Diluted EPS.,6.65,8.72,,abbindia,,,
41,Public Share Holding,,,,abbindia,,,
42,No Of Shares (Crores),5.30,5.30,,abbindia,,,
43,Share Holding (%),25.00,25.00,,abbindia,,,
44,Promoters and Promoter Group Shareholding,,,,abbindia,,,
45,a) Pledged/Encumbered,,,,abbindia,,,
46,- Number of shares (Crores),--,--,,abbindia,,,
47,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,,abbindia,,,
48,- Per. of shares (as a % of the total Share Cap. of the company),--,--,,abbindia,,,
49,b) Non-encumbered,,,,abbindia,,,
50,- Number of shares (Crores).,15.89,15.89,,abbindia,,,
51,- Per. of shares (as a % of the total sh. of prom. and promoter group).,100.00,100.00,,abbindia,,,
52,- Per. of shares (as a % of the total Share Cap. of the company).,75.00,75.00,,abbindia,,,
0,Yearly Results of ACC (in Rs. Cr.),Dec '22,Dec '21,Dec '20,acc,Dec '19,Dec '18,
1,Net Sales/Income from operations,17162.59,15814.40,13785.98,acc,15343.11,14477.47,
2,Other Operating Income,256.68,337.27,--,acc,314.44,324.15,
