,0,1,2,3,4,5,6,Stock
0,Yearly Results of ABB India (in Rs. Cr.),Dec '22,Dec '21,Dec '20,Dec '19,Dec '18,,abbindia
1,Net Sales/Income from operations,8567.53,6864.02,5757.17,7229.00,6613.36,,abbindia
2,Other Operating Income,--,69.98,63.78,86.06,76.76,,abbindia
3,Total Income From Operations,8567.53,6934.00,5820.95,7315.06,6690.12,,abbindia
4,EXPENDITURE,,,,,,,abbindia
5,Consumption of Raw Materials,4704.18,3757.40,3241.94,4194.97,3755.62,,abbindia
6,Purchase of Traded Goods,698.53,691.31,456.66,471.02,582.11,,abbindia
7,Increase/Decrease in Stocks,-101.53,-33.36,22.28,-26.73,-50.38,,abbindia
8,Power & Fuel,--,--,--,--,--,,abbindia
9,Employees Cost,635.29,588.24,568.01,579.62,529.50,,abbindia
10,Depreciation,104.70,102.70,120.36,90.40,92.76,,abbindia
11,Excise Duty,--,--,--,--,--,,abbindia
12,Admin. And Selling Expenses,--,--,--,--,--,,abbindia
13,R & D Expenses,--,--,--,--,--,,abbindia
14,Provisions And Contingencies,--,--,--,--,--,,abbindia
15,Exp. Capitalised,--,--,--,--,--,,abbindia
16,Other Expenses,1669.19,1373.70,1256.12,1565.03,1415.48,,abbindia
17,"P/L Before Other Inc. , Int., Excpt. Items & Tax",857.17,454.01,155.58,440.75,365.03,,abbindia
18,Other Income,179.47,159.62,106.87,94.31,84.01,,abbindia
19,"P/L Before Int., Excpt. Items & Tax",1036.64,613.63,262.45,535.06,449.04,,abbindia
20,Interest,13.11,10.70,16.87,21.36,53.90,,abbindia
21,P/L Before Exceptional Items & Tax,1023.53,602.93,245.58,513.70,395.14,,abbindia
22,Exceptional Items,339.26,121.34,58.79,-69.70,--,,abbindia
23,P/L Before Tax,1362.79,724.27,304.37,444.00,395.14,,abbindia
24,Tax,337.18,191.78,73.93,141.77,140.95,,abbindia
25,P/L After Tax from Ordinary Activities,1025.61,532.49,230.44,302.23,254.19,,abbindia
26,Prior Year Adjustments,--,--,--,--,--,,abbindia
27,Extra Ordinary Items,-9.38,-12.78,-11.22,1.17,256.70,,abbindia
28,Net Profit/(Loss) For the Period,1016.23,519.71,219.22,303.40,510.89,,abbindia
29,Equity Share Capital,42.38,42.38,42.38,42.38,42.38,,abbindia
30,Reserves Excluding Revaluation Reserves,4896.96,4002.74,3563.93,3477.73,3964.94,,abbindia
31,Equity Dividend Rate (%),275.00,260.00,250.00,240.00,240.00,,abbindia
32,EPS Before Extra Ordinary,,,,,,,abbindia
33,Basic EPS,47.96,24.53,10.34,14.32,24.11,,abbindia
34,Diluted EPS,47.96,24.53,10.34,14.32,24.11,,abbindia
35,EPS After Extra Ordinary,,,,,,,abbindia
36,Basic EPS.,47.96,24.53,10.34,14.32,24.11,,abbindia
37,Diluted EPS.,47.96,24.53,10.34,14.32,24.11,,abbindia
38,Public Share Holding,,,,,,,abbindia
39,No Of Shares (Crores),--,--,--,--,--,,abbindia
40,Share Holding (%),--,--,--,--,--,,abbindia
41,Promoters and Promoter Group Shareholding,,,,,,,abbindia
42,a) Pledged/Encumbered,,,,,,,abbindia
43,- Number of shares (Crores),--,--,--,--,--,,abbindia
44,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,,abbindia
45,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,,abbindia
46,b) Non-encumbered,,,,,,,abbindia
47,- Number of shares (Crores).,--,--,--,--,--,,abbindia
48,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,,abbindia
49,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,,abbindia
0,Yearly Results of ACC (in Rs. Cr.),Dec '22,Dec '21,Dec '20,Dec '19,Dec '18,,acc
1,Net Sales/Income from operations,17162.59,15814.40,13785.98,15343.11,14477.47,,acc
2,Other Operating Income,256.68,337.27,--,314.44,324.15,,acc
3,Total Income From Operations,17419.27,16151.67,13785.98,15657.55,14801.62,,acc
4,EXPENDITURE,,,,,,,acc
5,Consumption of Raw Materials,2616.78,2119.57,1673.21,2256.39,2368.17,,acc
6,Purchase of Traded Goods,1609.18,921.19,696.89,361.69,89.26,,acc
7,Increase/Decrease in Stocks,-350.00,-174.25,142.41,100.81,-124.98,,acc
8,Power & Fuel,4800.11,3364.77,--,3134.01,3000.83,,acc
9,Employees Cost,824.15,836.16,841.21,866.11,883.58,,acc
10,Depreciation,664.57,600.68,638.84,606.44,603.22,,acc
11,Excise Duty,--,--,--,--,--,,acc
12,Admin. And Selling Expenses,--,--,--,--,--,,acc
13,R & D Expenses,--,--,--,--,--,,acc
14,Provisions And Contingencies,--,--,--,--,--,,acc
15,Exp. Capitalised,--,--,--,--,--,,acc
16,Other Expenses,6462.64,6086.15,8077.15,6525.76,6536.64,,acc
17,"P/L Before Other Inc., Int., Excpt. Items & Tax",791.84,2397.40,1716.27,1806.34,1444.90,,acc
18,Other Income,222.74,206.71,216.74,318.43,142.66,,acc
