,0,1,2,3,4,5,6,Year,Stock
0,Yearly Results of Astral Limited (in Rs. Cr.),Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2018,astrallimited
1,Net Sales/Income from operations,4611.60,3443.30,2486.30,2042.80,1915.71,,2018,astrallimited
2,Other Operating Income,--,--,--,--,--,,2018,astrallimited
3,Total Income From Operations,4611.60,3443.30,2486.30,2042.80,1915.71,,2018,astrallimited
4,EXPENDITURE,,,,,,,2018,astrallimited
5,Consumption of Raw Materials,2998.00,2338.70,1453.20,1290.00,1231.09,,2018,astrallimited
6,Purchase of Traded Goods,60.40,82.60,62.30,67.10,79.14,,2018,astrallimited
7,Increase/Decrease in Stocks,6.40,-107.30,39.10,-59.40,-28.39,,2018,astrallimited
8,Power & Fuel,--,--,--,--,--,,2018,astrallimited
9,Employees Cost,246.60,130.30,104.30,97.70,75.41,,2018,astrallimited
10,Depreciation,137.40,105.00,96.20,89.90,67.13,,2018,astrallimited
11,Excise Duty,--,--,--,--,--,,2018,astrallimited
12,Admin. And Selling Expenses,--,--,--,--,--,,2018,astrallimited
13,R & D Expenses,--,--,--,--,--,,2018,astrallimited
14,Provisions And Contingencies,--,--,--,--,--,,2018,astrallimited
15,Exp. Capitalised,--,--,--,--,--,,2018,astrallimited
16,Other Expenses,549.10,364.00,292.90,277.70,254.57,,2018,astrallimited
17,"P/L Before Other Inc. , Int., Excpt. Items & Tax",613.70,530.00,438.30,279.80,236.76,,2018,astrallimited
18,Other Income,23.90,27.40,20.70,10.90,11.47,,2018,astrallimited
19,"P/L Before Int., Excpt. Items & Tax",637.60,557.40,459.00,290.70,248.23,,2018,astrallimited
20,Interest,33.30,8.90,7.60,33.70,28.05,,2018,astrallimited
21,P/L Before Exceptional Items & Tax,604.30,548.50,451.40,257.00,220.18,,2018,astrallimited
22,Exceptional Items,-3.30,-1.90,-12.30,-2.50,-1.99,,2018,astrallimited
23,P/L Before Tax,601.00,546.60,439.10,254.50,218.19,,2018,astrallimited
24,Tax,153.10,141.80,112.20,53.70,76.74,,2018,astrallimited
25,P/L After Tax from Ordinary Activities,447.90,404.80,326.90,200.80,141.45,,2018,astrallimited
26,Prior Year Adjustments,--,--,--,--,--,,2018,astrallimited
27,Extra Ordinary Items,--,--,--,--,--,,2018,astrallimited
28,Net Profit/(Loss) For the Period,447.90,404.80,326.90,200.80,141.45,,2018,astrallimited
29,Equity Share Capital,26.90,20.10,20.10,15.10,11.98,,2018,astrallimited
30,Reserves Excluding Revaluation Reserves,2649.20,1983.80,1623.30,1314.30,1140.78,,2018,astrallimited
31,Equity Dividend Rate (%),350.00,300.00,200.00,100.00,70.00,,2018,astrallimited
32,EPS Before Extra Ordinary,,,,,,,2018,astrallimited
33,Basic EPS,16.67,20.15,16.27,13.33,11.76,,2018,astrallimited
34,Diluted EPS,16.67,20.15,16.27,13.33,11.76,,2018,astrallimited
35,EPS After Extra Ordinary,,,,,,,2018,astrallimited
36,Basic EPS.,16.67,20.15,16.27,13.33,11.76,,2018,astrallimited
37,Diluted EPS.,16.67,20.15,16.27,13.33,11.76,,2018,astrallimited
38,Public Share Holding,,,,,,,2018,astrallimited
39,No Of Shares (Crores),--,--,--,--,--,,2018,astrallimited
40,Share Holding (%),--,--,--,--,--,,2018,astrallimited
41,Promoters and Promoter Group Shareholding,,,,,,,2018,astrallimited
42,a) Pledged/Encumbered,,,,,,,2018,astrallimited
43,- Number of shares (Crores),--,--,--,--,--,,2018,astrallimited
44,- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,,2018,astrallimited
45,- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,,2018,astrallimited
46,b) Non-encumbered,,,,,,,2018,astrallimited
47,- Number of shares (Crores).,--,--,--,--,--,,2018,astrallimited
48,- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,,2018,astrallimited
49,- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,,2018,astrallimited
0,Yearly Results of Astral Limited (in Rs. Cr.),Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2019,astrallimited
1,Net Sales/Income from operations,4611.60,3443.30,2486.30,2042.80,1915.71,,2019,astrallimited
2,Other Operating Income,--,--,--,--,--,,2019,astrallimited
3,Total Income From Operations,4611.60,3443.30,2486.30,2042.80,1915.71,,2019,astrallimited
4,EXPENDITURE,,,,,,,2019,astrallimited
5,Consumption of Raw Materials,2998.00,2338.70,1453.20,1290.00,1231.09,,2019,astrallimited
