,0,1,2,3,4,5,6,Stock
0,Yearly Results of Astral Limited (in Rs. Cr.),Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,astrallimited
1,Net Sales/Income from operations,5158.50,4394.00,3176.30,2577.90,2507.29,,astrallimited
2,Other Operating Income,--,--,--,--,--,,astrallimited
3,Total Income From Operations,5158.50,4394.00,3176.30,2577.90,2507.29,,astrallimited
4,EXPENDITURE,,,,,,,astrallimited
5,Consumption of Raw Materials,3362.20,3030.00,1898.10,1642.90,1650.03,,astrallimited
6,Purchase of Traded Goods,60.40,31.40,21.60,22.70,39.73,,astrallimited
7,Increase/Decrease in Stocks,12.10,-133.40,49.20,-69.90,-42.07,,astrallimited
8,Power & Fuel,--,--,--,--,--,,astrallimited
9,Employees Cost,319.30,245.30,191.00,175.20,139.13,,astrallimited
10,Depreciation,178.10,126.90,116.50,107.90,81.43,,astrallimited
11,Excise Duty,--,--,--,--,--,,astrallimited
12,Admin. And Selling Expenses,--,--,--,--,--,,astrallimited
13,R & D Expenses,--,--,--,--,--,,astrallimited
14,Provisions And Contingencies,--,--,--,--,--,,astrallimited
15,Exp. Capitalised,--,--,--,--,--,,astrallimited
16,Other Expenses,594.60,465.40,371.90,364.10,335.54,,astrallimited
17,"P/L Before Other Inc., Int., Excpt. Items & Tax",631.80,628.40,528.00,335.00,303.50,,astrallimited
18,Other Income,26.70,34.90,25.10,12.10,15.44,,astrallimited
19,"P/L Before Int., Excpt. Items & Tax",658.50,663.30,553.10,347.10,318.94,,astrallimited
20,Interest,40.00,12.90,13.10,39.40,31.95,,astrallimited
21,P/L Before Exceptional Items & Tax,618.50,650.40,540.00,307.70,286.99,,astrallimited
22,Exceptional Items,-1.80,--,--,--,--,,astrallimited
23,P/L Before Tax,616.70,650.40,540.00,307.70,286.99,,astrallimited
24,Tax,155.70,158.10,124.80,56.50,86.08,,astrallimited
25,P/L After Tax from Ordinary Activities,461.00,492.30,415.20,251.20,200.91,,astrallimited
26,Prior Year Adjustments,--,--,--,--,--,,astrallimited
27,Extra Ordinary Items,13.00,--,--,--,--,,astrallimited
28,Net Profit/(Loss) For the Period,474.00,492.30,415.20,251.20,200.91,,astrallimited
29,Minority Interest,-15.90,-6.60,-3.80,-1.70,-1.53,,astrallimited
