,Yearly Results of Astral Limited (in Rs. Cr.),Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2023,Stock,Yearly Results of Aarti Industries (in Rs. Cr.),,Yearly Results of Balrampur Chini Mills (in Rs. Cr.),,Yearly Results of Bharti Airtel (in Rs. Cr.),,Yearly Results of Bharat Heavy Electricals (in Rs. Cr.),,Yearly Results of Britannia Industries (in Rs. Cr.),,Yearly Results of Birlasoft (in Rs. Cr.),,Yearly Results of Canara Bank (in Rs. Cr.),,Yearly Results of Chambal Fertilisers and Chemicals (in Rs. Cr.),,Yearly Results of Colgate Palmolive (India) (in Rs. Cr.),,Yearly Results of Crompton Greaves Consumer Electrical (in Rs. Cr.),,Yearly Results of Escorts Kubota (in Rs. Cr.),,Yearly Results of GMR Airports Infrastructure (in Rs. Cr.),,Yearly Results of Hindustan Aeronautics Ltd. (in Rs. Cr.),,Yearly Results of Havells India (in Rs. Cr.),,Yearly Results of HDFC Life Insurance Company (in Rs. Cr.),,Yearly Results of L&T Finance Holdings (in Rs. Cr.),,Yearly Results of Maruti Suzuki India (in Rs. Cr.),,Yearly Results of Max Financial Services (in Rs. Cr.),,Yearly Results of NMDC (in Rs. Cr.),,Yearly Results of Piramal Enterprises (in Rs. Cr.),,Yearly Results of Trent (in Rs. Cr.),,Yearly Results of Vedanta (in Rs. Cr.),
0,Yearly Results of Astral Limited (in Rs. Cr.),Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2018,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Net Sales/Income from operations,4611.60,3443.30,2486.30,2042.80,1915.71,,2018,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Other Operating Income,--,--,--,--,--,,2018,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Total Income From Operations,4611.60,3443.30,2486.30,2042.80,1915.71,,2018,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,EXPENDITURE,,,,,,,2018,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Consumption of Raw Materials,2998.00,2338.70,1453.20,1290.00,1231.09,,2018,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Purchase of Traded Goods,60.40,82.60,62.30,67.10,79.14,,2018,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Increase/Decrease in Stocks,6.40,-107.30,39.10,-59.40,-28.39,,2018,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Power & Fuel,--,--,--,--,--,,2018,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Employees Cost,246.60,130.30,104.30,97.70,75.41,,2018,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Depreciation,137.40,105.00,96.20,89.90,67.13,,2018,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Excise Duty,--,--,--,--,--,,2018,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Admin. And Selling Expenses,--,--,--,--,--,,2018,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,R & D Expenses,--,--,--,--,--,,2018,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Provisions And Contingencies,--,--,--,--,--,,2018,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Exp. Capitalised,--,--,--,--,--,,2018,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Other Expenses,549.10,364.00,292.90,277.70,254.57,,2018,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"P/L Before Other Inc. , Int., Excpt. Items & Tax",613.70,530.00,438.30,279.80,236.76,,2018,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Other Income,23.90,27.40,20.70,10.90,11.47,,2018,astrallimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
