,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Free Cash Flow,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Rent Expense Supplemental,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,Market Cap,Beta (5Y Monthly),PE Ratio (TTM),EPS (TTM),Earnings Date, - ,Forward Dividend & Yield,Ex-Dividend Date,1y Target Est,key,Treasury Shares Number,Repurchase of Capital Stock,Income from Associates & Other Participating Interests,Special Income Charges,Other Cash Adjustment Inside Change in Cash,Cash Flows from Used in Operating Activities Direct,Other Income Expense,Earnings from Equity Interest Net of Tax,Total Operating Income as Reported,MinInterest,FCFYield,ROC,BookToMkt,DivYield,TEV,EarningYield,CombRank,MagicFormulaRank,CombinedRank
0,35876000.0,9083000.0,26793000.0,26814000.0,26793000.0,47000.0,24530000.0,9155000.0,26814000.0,24530000.0,68000.0,,268612.0,268612.0,5569000.0,-4797000.0,-1906000.0,5295000.0,-3110000.0,0.0,58000.0,-324000.0,2459000.0,51585000.0,34347000.0,17238000.0,10920000.0,6318000.0,-171000.0,6152000.0,1557000.0,4566000.0,4566000.0,105000.0,45267000.0,4566000.0,4449444.0,56000.0,171000.0,-171000.0,6323000.0,,34347000.0,1781000.0,4436000.0,-18000.0,-18000.0,8122000.0,0.0,-4556.0,"1,988.70","1,999.25","1,995.05 x 0","1,996.05 x 0","1,968.00 - 2,010.00","1,297.80 - 2,058.00","387,366","648,450",534820000.0,0.37,112.74,17.66,"Nov 09, 2023","Nov 13, 2023",4.50 (0.23%),"Aug 04, 2023","1,880.85",ASTRAL.NS,,,,,,,,,,26793000.0,0.016227889757301522,0.18770966305477216,0.05009722897423432,4.50 (0.23%),534820000.0,0.011822669309300326,39.0,15.0,16.0
1,85810000.0,36600000.0,49210000.0,55550000.0,49200000.0,330000.0,48120000.0,-3240000.0,77940000.0,48120000.0,29070000.0,27070000.0,362504.0,362504.0,13100000.0,-13300000.0,470000.0,2010000.0,-13260000.0,,,,-160000.0,72830000.0,38420000.0,34410000.0,26620000.0,7790000.0,-1680000.0,6110000.0,650000.0,5450000.0,5450000.0,,65040000.0,5450000.0,5450000.0,,1680000.0,-1680000.0,7790000.0,,38420000.0,3100000.0,5450000.0,,,10890000.0,0.0,0.0,459.20,460.95,468.15 x 0,468.35 x 0,460.95 - 469.70,445.00 - 924.40,"615,334","1,245,456",169833000.0,0.54,35.36,13.25,"Nov 13, 2023","Nov 17, 2023",4.00 (0.87%),"Jul 28, 2023",N/A,AARTIIND.NS,,,,,,,,,,49210000.0,0.15521129580234702,0.1735739750445633,0.28969634876614087,4.00 (0.87%),169833000.0,0.04586858855463897,31.0,9.0,9.0
2,54285162.0,25329403.0,28955759.0,33243256.0,28955759.0,9930.0,28948885.0,6133015.0,47741964.0,28948885.0,18796135.0,18783106.0,204040.0,201749.0,4529156.0,-8587528.0,4058253.0,3099.0,-8560924.0,,4660000.0,-1055762.0,-4031768.0,46658617.0,34092396.0,12566221.0,8740853.0,3825368.0,-486468.0,4083147.0,1241477.0,2841670.0,2841670.0,14938.0,42833249.0,2841670.0,2841670.0,8353.0,486468.0,-486468.0,4569615.0,,34092396.0,1295030.0,2841670.0,0.0,0.0,5864645.0,0.0,0.0,389.60,392.45,392.10 x 0,392.25 x 0,391.15 - 396.45,307.30 - 430.90,"402,347","1,559,450",79106000.0,0.53,23.11,16.97,"Nov 07, 2023","Nov 11, 2023",2.50 (0.64%),"Feb 22, 2023",184.00,BALRAMCHIN.NS,2291.0,-818514.0,,,,,,,,28955759.0,0.1654751851945491,0.13025563039630123,0.36603745607160015,2.50 (0.64%),79106000.0,0.05776571941445655,37.0,11.0,14.0
3,4466332000.0,3401889000.0,1064443000.0,2291315000.0,775629000.0,604755000.0,-883563000.0,-644625000.0,2431077000.0,-883563000.0,2260203000.0,1583654000.0,5967641.0,5964502.0,653246000.0,-390802000.0,-244695000.0,90214000.0,-388184000.0,52242000.0,136077000.0,-178227000.0,265062000.0,1391448000.0,479157000.0,912291000.0,563874000.0,348417000.0,-192999000.0,165607000.0,42733000.0,83459000.0,83459000.0,,1043031000.0,83459000.0,88428657.0,3080000.0,192999000.0,-192999000.0,358606000.0,,479157000.0,364318000.0,83459000.0,-6698000.0,-6698000.0,729622000.0,0.0,-1728343.0,870.35,870.00,854.90 x 0,855.15 x 0,848.50 - 870.00,686.20 - 901.40,"8,701,850","5,057,785",4963000000.0,0.27,58.97,14.50,"Oct 30, 2023","Nov 03, 2023",4.00 (0.46%),"Aug 11, 2023",N/A,BHARTIARTL.NS,3139.0,-496000.0,,,,,,,,1064443000.0,0.2098388071730808,-0.23466091868277986,0.15628228893814225,4.00 (0.46%),4963000000.0,0.07225589361273424,36.0,12.0,12.0
4,593697900.0,325417600.0,268280300.0,268280300.0,268280300.0,685100.0,267515300.0,67308400.0,322130300.0,267515300.0,54535100.0,38244800.0,3482063.0,3482063.0,-7415200.0,14804600.0,889600.0,15605200.0,-1884000.0,,6400000.0,,-9299200.0,221363000.0,163007200.0,58355800.0,53793600.0,4562200.0,-5214300.0,4794400.0,-20500.0,4773900.0,4773900.0,,216800800.0,4773900.0,4773900.0,,5214300.0,-5214300.0,10008700.0,,163007200.0,2603400.0,4773900.0,,,12612100.0,0.0,0.0,109.55,109.80,109.85 x 0,109.85 x 0,109.10 - 110.60,54.75 - 113.05,"8,813,934","25,589,703",382687000.0,0.91,119.40,0.92,"Nov 09, 2023","Nov 13, 2023",0.40 (0.38%),"Aug 11, 2023",68.24,BHEL.NS,,,,,,,,,,268280300.0,-0.014453587396488514,0.029892447876300274,0.7010436727665168,0.40 (0.38%),382687000.0,0.026153749670095927,57.0,18.0,19.0
5,93527200.0,57882200.0,35645000.0,50860700.0,35342700.0,168600.0,33918700.0,6118300.0,65147800.0,33918700.0,29973700.0,28781300.0,240868.0,240868.0,25262100.0,-15170600.0,-10283700.0,1001600.0,-7114600.0,,13094000.0,-7911800.0,18147500.0,159849000.0,95913000.0,63936000.0,37886000.0,26050000.0,-1691000.0,30327700.0,7164500.0,23217700.0,23217700.0,871100.0,133799000.0,23217700.0,20349003.0,1631500.0,1691000.0,-1691000.0,32018700.0,,95913000.0,2259100.0,23217700.0,3756000.0,3756000.0,30521800.0,0.0,887303.0,"4,510.95","4,510.95","4,496.65 x 0","4,497.00 x 0","4,486.10 - 4,520.00","3,564.10 - 5,270.35","54,607","400,979",1083000000.0,0.45,44.36,101.38,"Nov 02, 2023","Nov 06, 2023",128.50 (2.84%),"Apr 13, 2023","4,019.59",BRITANNIA.NS,,,,,,,,,,35645000.0,0.029895383194829178,0.7997277518295577,0.03263407202216066,128.50 (2.84%),1083000000.0,0.02956481994459834,36.0,5.0,13.0
6,31872680.0,7389750.0,24482930.0,24482930.0,24482930.0,1018310.0,19449180.0,15457510.0,24482930.0,19449180.0,1018310.0,,274871.0,274871.0,5609240.0,2516940.0,-6362040.0,4668520.0,-577380.0,129170.0,,,5031860.0,47947690.0,28130570.0,19817120.0,15435120.0,4382000.0,-185890.0,4424220.0,1108380.0,3315840.0,3315840.0,50740.0,43565690.0,3315840.0,3314199.0,188670.0,185890.0,-185890.0,4610110.0,,28130570.0,822650.0,3315840.0,2190.0,2190.0,5430570.0,0.0,548.6509,485.05,486.85,493.55 x 0,493.55 x 0,486.25 - 498.30,250.25 - 498.30,"1,293,211","2,849,676",135997000.0,0.78,39.19,12.60,"Oct 19, 2023","Oct 23, 2023",3.50 (0.72%),"Jul 14, 2023",434.71,BSOFT.NS,,-3900000.0,,,,,,,,24482930.0,0.045490856415950354,0.13206952592755142,0.18002551526871916,3.50 (0.72%),135997000.0,0.03389861541063406,40.0,14.0,17.0
7,13810295600.0,13020720200.0,789575400.0,1361269200.0,780537500.0,,780537500.0,,1361269200.0,780537500.0,580731700.0,,1814130.0,1814130.0,-399778700.0,-12378000.0,4453600.0,1417028200.0,-6134500.0,0.0,60000000.0,-19500000.0,-405913200.0,582197000.0,,,,,,144266600.0,36188600.0,112547500.0,112547500.0,,,112547500.0,112547500.0,,,,,,,10209600.0,112547500.0,0.0,0.0,,0.0,0.0,326.65,328.40,326.85 x 0,326.95 x 0,326.80 - 329.35,207.50 - 351.40,"841,579","7,030,021",592948000.0,0.75,4.63,70.62,"Oct 18, 2023","Oct 23, 2023",12.00 (3.62%),"Jun 14, 2023",385.92,CANBK.NS,,,,0.0,,,,,,789575400.0,-0.6638764276125394,,1.3163675398179941,12.00 (3.62%),592948000.0,,,22.0,
8,127700700.0,57171500.0,70529200.0,88885200.0,70681100.0,231300.0,70657400.0,24866000.0,104033800.0,70657400.0,33584000.0,32983400.0,416208.0,416208.0,32392600.0,-18731600.0,-18619900.0,369300.0,-1977400.0,,28037400.0,-40389300.0,30415200.0,277728100.0,197042900.0,80685200.0,65574600.0,15110600.0,-3200200.0,14163300.0,3825400.0,10342200.0,10342200.0,78900.0,262617500.0,10342200.0,10342200.0,272200.0,3200200.0,-3200200.0,17363500.0,,197042900.0,3082900.0,10342200.0,703800.0,703800.0,20446400.0,0.0,0.0,274.75,274.90,276.80 x 0,276.85 x 0,274.35 - 278.00,248.40 - 366.80,"404,346","1,445,717",115206000.0,0.77,11.17,24.77,"Oct 30, 2023","Nov 03, 2023",7.50 (2.78%),"Aug 21, 2023",195.33,CHAMBLFERT.NS,,,,,,,,,,70529200.0,0.29833515615506134,0.1817722149755976,0.6135192611495929,7.50 (2.78%),115206000.0,0.15071697654636043,17.0,4.0,2.0
9,28829900.0,11666000.0,17163900.0,17163900.0,17163900.0,689600.0,17163900.0,4632600.0,17163900.0,17163900.0,689600.0,,271986.0,271986.0,11762600.0,-75400.0,-10867300.0,8060600.0,-700900.0,-102100.0,,,11061700.0,51878600.0,17941900.0,33936700.0,20214600.0,13722100.0,-49100.0,14096700.0,3625300.0,10471400.0,10471400.0,49156.0,38156500.0,10471400.0,10554671.0,410026.0,49100.0,-49100.0,14145800.0,,17941900.0,1748000.0,10471400.0,-112100.0,-112100.0,16005900.0,0.0,-28829.0,"1,935.80","1,945.40","1,958.55 x 0","1,959.45 x 0","1,942.00 - 1,970.00","1,434.60 - 2,062.10","156,921","561,034",532671000.0,0.22,47.97,40.83,"Oct 18, 2023","Oct 23, 2023",42.00 (2.13%),"May 19, 2023","1,865.97",COLPAL.NS,,,,,,,,,,17163900.0,0.023398120040325078,0.6489941045580713,0.03222232860433551,42.00 (2.13%),532671000.0,0.02655635467295948,28.0,6.0,6.0
