,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Free Cash Flow,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Rent Expense Supplemental,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,Market Cap,Beta (5Y Monthly),PE Ratio (TTM),EPS (TTM),Earnings Date, - ,Forward Dividend & Yield,Ex-Dividend Date,1y Target Est,key,Treasury Shares Number,Repurchase of Capital Stock,Income from Associates & Other Participating Interests,Special Income Charges,Other Cash Adjustment Inside Change in Cash,Cash Flows from Used in Operating Activities Direct,Other Income Expense,Earnings from Equity Interest Net of Tax,Total Operating Income as Reported,MinInterest,FCFYield,ROC,BookToMkt,DivYield,TEV,EarningYield,CombRank,MagicFormulaRank,CombinedRank
0,35876000,9083000,26793000,26814000,26793000,47000,24530000,9155000,26814000,24530000,68000,,268612,268612,5569000,-4797000,-1906000,5295000,-3110000,0,58000,-324000,2459000,51585000,34347000,17238000,10920000,6318000,-171000,6152000,1557000,4566000,4566000,105000,45267000,4566000,4449444,56000,171000,-171000,6323000,,34347000,1781000,4436000,-18000,-18000,8122000,0,-4556,"1,988.70","1,999.25","1,995.05 x 0","1,996.05 x 0","1,968.00 - 2,010.00","1,297.80 - 2,058.00","387,366","648,450",534820000,0.37,112.74,17.66,9-Nov-23,13-Nov-23,4.50 (0.23%),4-Aug-23,"1,880.85",ASTRAL.NS,,,,,,,,,,26793000,0.01622789,0.187709663,0.050097229,4.50 (0.23%),534820000,0.011822669,39,15,16
1,85810000,36600000,49210000,55550000,49200000,330000,48120000,-3240000,77940000,48120000,29070000,27070000,362504,362504,13100000,-13300000,470000,2010000,-13260000,,,,-160000,72830000,38420000,34410000,26620000,7790000,-1680000,6110000,650000,5450000,5450000,,65040000,5450000,5450000,,1680000,-1680000,7790000,,38420000,3100000,5450000,,,10890000,0,0,459.2,460.95,468.15 x 0,468.35 x 0,460.95 - 469.70,445.00 - 924.40,"615,334","1,245,456",169833000,0.54,35.36,13.25,13-Nov-23,17-Nov-23,4.00 (0.87%),28-Jul-23,N/A,AARTIIND.NS,,,,,,,,,,49210000,0.155211296,0.173573975,0.289696349,4.00 (0.87%),169833000,0.045868589,31,9,9
2,54285162,25329403,28955759,33243256,28955759,9930,28948885,6133015,47741964,28948885,18796135,18783106,204040,201749,4529156,-8587528,4058253,3099,-8560924,,4660000,-1055762,-4031768,46658617,34092396,12566221,8740853,3825368,-486468,4083147,1241477,2841670,2841670,14938,42833249,2841670,2841670,8353,486468,-486468,4569615,,34092396,1295030,2841670,0,0,5864645,0,0,389.6,392.45,392.10 x 0,392.25 x 0,391.15 - 396.45,307.30 - 430.90,"402,347","1,559,450",79106000,0.53,23.11,16.97,7-Nov-23,11-Nov-23,2.50 (0.64%),22-Feb-23,184,BALRAMCHIN.NS,2291,-818514,,,,,,,,28955759,0.165475185,0.13025563,0.366037456,2.50 (0.64%),79106000,0.057765719,37,11,14
3,4466332000,3401889000,1064443000,2291315000,775629000,604755000,-883563000,-644625000,2431077000,-883563000,2260203000,1583654000,5967641,5964502,653246000,-390802000,-244695000,90214000,-388184000,52242000,136077000,-178227000,265062000,1391448000,479157000,912291000,563874000,348417000,-192999000,165607000,42733000,83459000,83459000,,1043031000,83459000,88428657,3080000,192999000,-192999000,358606000,,479157000,364318000,83459000,-6698000,-6698000,729622000,0,-1728343,870.35,870,854.90 x 0,855.15 x 0,848.50 - 870.00,686.20 - 901.40,"8,701,850","5,057,785",4963000000,0.27,58.97,14.5,30-Oct-23,3-Nov-23,4.00 (0.46%),11-Aug-23,N/A,BHARTIARTL.NS,3139,-496000,,,,,,,,1064443000,0.209838807,-0.234660919,0.156282289,4.00 (0.46%),4963000000,0.072255894,36,12,12
4,593697900,325417600,268280300,268280300,268280300,685100,267515300,67308400,322130300,267515300,54535100,38244800,3482063,3482063,-7415200,14804600,889600,15605200,-1884000,,6400000,,-9299200,221363000,163007200,58355800,53793600,4562200,-5214300,4794400,-20500,4773900,4773900,,216800800,4773900,4773900,,5214300,-5214300,10008700,,163007200,2603400,4773900,,,12612100,0,0,109.55,109.8,109.85 x 0,109.85 x 0,109.10 - 110.60,54.75 - 113.05,"8,813,934","25,589,703",382687000,0.91,119.4,0.92,9-Nov-23,13-Nov-23,0.40 (0.38%),11-Aug-23,68.24,BHEL.NS,,,,,,,,,,268280300,-0.014453587,0.029892448,0.701043673,0.40 (0.38%),382687000,0.02615375,57,18,19
5,93527200,57882200,35645000,50860700,35342700,168600,33918700,6118300,65147800,33918700,29973700,28781300,240868,240868,25262100,-15170600,-10283700,1001600,-7114600,,13094000,-7911800,18147500,159849000,95913000,63936000,37886000,26050000,-1691000,30327700,7164500,23217700,23217700,871100,133799000,23217700,20349003,1631500,1691000,-1691000,32018700,,95913000,2259100,23217700,3756000,3756000,30521800,0,887303,"4,510.95","4,510.95","4,496.65 x 0","4,497.00 x 0","4,486.10 - 4,520.00","3,564.10 - 5,270.35","54,607","400,979",1083000000,0.45,44.36,101.38,2-Nov-23,6-Nov-23,128.50 (2.84%),13-Apr-23,"4,019.59",BRITANNIA.NS,,,,,,,,,,35645000,0.029895383,0.799727752,0.032634072,128.50 (2.84%),1083000000,0.02956482,36,5,13
6,31872680,7389750,24482930,24482930,24482930,1018310,19449180,15457510,24482930,19449180,1018310,,274871,274871,5609240,2516940,-6362040,4668520,-577380,129170,,,5031860,47947690,28130570,19817120,15435120,4382000,-185890,4424220,1108380,3315840,3315840,50740,43565690,3315840,3314199,188670,185890,-185890,4610110,,28130570,822650,3315840,2190,2190,5430570,0,548.6509,485.05,486.85,493.55 x 0,493.55 x 0,486.25 - 498.30,250.25 - 498.30,"1,293,211","2,849,676",135997000,0.78,39.19,12.6,19-Oct-23,23-Oct-23,3.50 (0.72%),14-Jul-23,434.71,BSOFT.NS,,-3900000,,,,,,,,24482930,0.045490856,0.132069526,0.180025515,3.50 (0.72%),135997000,0.033898615,40,14,17
7,13810295600,13020720200,789575400,1361269200,780537500,,780537500,,1361269200,780537500,580731700,,1814130,1814130,-399778700,-12378000,4453600,1417028200,-6134500,0,60000000,-19500000,-405913200,582197000,,,,,,144266600,36188600,112547500,112547500,,,112547500,112547500,,,,,,,10209600,112547500,0,0,,0,0,326.65,328.4,326.85 x 0,326.95 x 0,326.80 - 329.35,207.50 - 351.40,"841,579","7,030,021",592948000,0.75,4.63,70.62,18-Oct-23,23-Oct-23,12.00 (3.62%),14-Jun-23,385.92,CANBK.NS,,,,0,,,,,,789575400,-0.663876428,,1.31636754,12.00 (3.62%),592948000,,,22,
8,127700700,57171500,70529200,88885200,70681100,231300,70657400,24866000,104033800,70657400,33584000,32983400,416208,416208,32392600,-18731600,-18619900,369300,-1977400,,28037400,-40389300,30415200,277728100,197042900,80685200,65574600,15110600,-3200200,14163300,3825400,10342200,10342200,78900,262617500,10342200,10342200,272200,3200200,-3200200,17363500,,197042900,3082900,10342200,703800,703800,20446400,0,0,274.75,274.9,276.80 x 0,276.85 x 0,274.35 - 278.00,248.40 - 366.80,"404,346","1,445,717",115206000,0.77,11.17,24.77,30-Oct-23,3-Nov-23,7.50 (2.78%),21-Aug-23,195.33,CHAMBLFERT.NS,,,,,,,,,,70529200,0.298335156,0.181772215,0.613519261,7.50 (2.78%),115206000,0.150716977,17,4,2
9,28829900,11666000,17163900,17163900,17163900,689600,17163900,4632600,17163900,17163900,689600,,271986,271986,11762600,-75400,-10867300,8060600,-700900,-102100,,,11061700,51878600,17941900,33936700,20214600,13722100,-49100,14096700,3625300,10471400,10471400,49156,38156500,10471400,10554671,410026,49100,-49100,14145800,,17941900,1748000,10471400,-112100,-112100,16005900,0,-28829,"1,935.80","1,945.40","1,958.55 x 0","1,959.45 x 0","1,942.00 - 1,970.00","1,434.60 - 2,062.10","156,921","561,034",532671000,0.22,47.97,40.83,18-Oct-23,23-Oct-23,42.00 (2.13%),19-May-23,"1,865.97",COLPAL.NS,,,,,,,,,,17163900,0.02339812,0.648994105,0.032222329,42.00 (2.13%),532671000,0.026556355,28,6,6
10,56544300,25467300,31077000,32571700,26599900,829300,-1270300,5213600,35821700,-1270300,10051100,8453400,636110,636110,5525900,2631600,-9105300,768400,-791000,416000,9250000,-16091600,4734900,68696100,46803500,21892600,15347100,6545500,-1091800,6121500,1357500,4632100,4632100,156300,62150600,4632100,4632100,459200,1091800,-1091800,7213300,,46803500,1159200,4632100,0,0,8372500,0,0,301.6,301.85,300.45 x 0,300.55 x 0,299.55 - 305.10,251.00 - 429.00,"441,278","2,713,734",192273000,0.38,42.07,7.14,24-Oct-23,28-Oct-23,3.00 (1.00%),7-Jul-23,516.6,CROMPTON.NS,,,,,,,,,,31077000,0.032853807,1.829254685,0.138344437,3.00 (1.00%),192273000,0.037515928,28,3,7
