,0,1,2,3,Stock,4,5,6
0,Balance Sheet of ABB India (in Rs. Cr.),Dec 12,Dec 11,,abbindia,,,
1,,12 mths,12 mths,,abbindia,,,
2,EQUITIES AND LIABILITIES,,,,abbindia,,,
3,SHAREHOLDER'S FUNDS,,,,abbindia,,,
4,Equity Share Capital,42.38,42.38,,abbindia,,,
5,Total Share Capital,42.38,44.23,,abbindia,,,
6,Reserves and Surplus,2559.26,2492.20,,abbindia,,,
7,Total Reserves and Surplus,2559.26,2492.20,,abbindia,,,
8,Total Shareholders Funds,2601.64,2536.43,,abbindia,,,
9,Minority Interest,0.00,0.00,,abbindia,,,
10,NON-CURRENT LIABILITIES,,,,abbindia,,,
11,Long Term Borrowings,0.00,0.00,,abbindia,,,
12,Deferred Tax Liabilities [Net],0.00,0.00,,abbindia,,,
13,Other Long Term Liabilities,3.89,3.30,,abbindia,,,
14,Long Term Provisions,5.71,5.71,,abbindia,,,
15,Total Non-Current Liabilities,9.60,9.01,,abbindia,,,
16,CURRENT LIABILITIES,,,,abbindia,,,
17,Short Term Borrowings,327.68,0.00,,abbindia,,,
18,Trade Payables,1929.26,1986.56,,abbindia,,,
19,Other Current Liabilities,1394.87,1559.00,,abbindia,,,
20,Short Term Provisions,241.36,227.95,,abbindia,,,
21,Total Current Liabilities,3893.17,3773.51,,abbindia,,,
22,Total Capital And Liabilities,6504.41,6318.95,,abbindia,,,
23,ASSETS,,,,abbindia,,,
24,NON-CURRENT ASSETS,,,,abbindia,,,
25,Tangible Assets,1078.41,1030.62,,abbindia,,,
26,Intangible Assets,155.38,164.26,,abbindia,,,
27,Capital Work-In-Progress,117.01,74.43,,abbindia,,,
28,Fixed Assets,1350.80,1269.31,,abbindia,,,
29,Non-Current Investments,16.56,16.64,,abbindia,,,
30,Deferred Tax Assets [Net],14.99,22.51,,abbindia,,,
31,Long Term Loans And Advances,231.25,164.27,,abbindia,,,
32,Other Non-Current Assets,8.97,9.17,,abbindia,,,
33,Total Non-Current Assets,1622.57,1481.90,,abbindia,,,
34,CURRENT ASSETS,,,,abbindia,,,
35,Current Investments,0.08,0.08,,abbindia,,,
36,Inventories,933.37,939.15,,abbindia,,,
37,Trade Receivables,3280.82,3093.56,,abbindia,,,
38,Cash And Cash Equivalents,86.84,259.95,,abbindia,,,
39,Short Term Loans And Advances,230.51,201.88,,abbindia,,,
40,OtherCurrentAssets,350.22,342.43,,abbindia,,,
41,Total Current Assets,4881.84,4837.05,,abbindia,,,
42,Total Assets,6504.41,6318.95,,abbindia,,,
43,OTHER ADDITIONAL INFORMATION,,,,abbindia,,,
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,abbindia,,,
45,Contingent Liabilities,758.02,538.44,,abbindia,,,
46,BONUS DETAILS,,,,abbindia,,,
47,Bonus Equity Share Capital,18.79,18.79,,abbindia,,,
48,NON-CURRENT INVESTMENTS,,,,abbindia,,,
49,Non-Current Investments Quoted Market Value,0.00,0.00,,abbindia,,,
50,Non-Current Investments Unquoted Book Value,0.60,0.68,,abbindia,,,
51,CURRENT INVESTMENTS,,,,abbindia,,,
52,Current Investments Quoted Market Value,0.00,0.00,,abbindia,,,
53,Current Investments Unquoted Book Value,0.08,0.08,,abbindia,,,
0,Balance Sheet of ACC (in Rs. Cr.),Mar 23,Dec 21,Dec 20,acc,Dec 19,Dec 18,
1,,15 mths,12 mths,12 mths,acc,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,acc,,,
3,SHAREHOLDER'S FUNDS,,,,acc,,,
4,Equity Share Capital,187.99,187.99,187.99,acc,187.99,187.99,
5,Total Share Capital,187.99,187.99,187.99,acc,187.99,187.99,
6,Reserves and Surplus,13950.48,14120.84,12511.14,acc,11355.78,10343.91,
7,Total Reserves and Surplus,13950.48,14120.84,12511.14,acc,11355.78,10343.91,
8,Total Shareholders Funds,14138.47,14308.83,12699.13,acc,11543.77,10531.90,
9,Minority Interest,3.48,3.35,3.24,acc,3.16,3.03,
10,NON-CURRENT LIABILITIES,,,,acc,,,
11,Long Term Borrowings,0.00,0.00,0.00,acc,0.00,0.00,
12,Deferred Tax Liabilities [Net],457.33,403.70,394.79,acc,655.72,674.57,
13,Other Long Term Liabilities,125.68,101.37,83.98,acc,0.00,0.00,
14,Long Term Provisions,177.80,215.55,214.83,acc,235.10,140.29,
15,Total Non-Current Liabilities,760.81,720.62,693.60,acc,890.82,814.86,
16,CURRENT LIABILITIES,,,,acc,,,
17,Short Term Borrowings,0.00,0.00,0.00,acc,0.00,0.00,
18,Trade Payables,1493.39,1904.89,1422.23,acc,1474.98,1926.26,
19,Other Current Liabilities,4137.54,4085.45,3366.16,acc,3199.86,2752.60,
20,Short Term Provisions,10.08,15.70,15.87,acc,23.39,27.30,
21,Total Current Liabilities,5641.01,6006.04,4804.26,acc,4698.23,4706.16,
22,Total Capital And Liabilities,20543.77,21038.84,18200.23,acc,17135.98,16055.95,
23,ASSETS,,,,acc,,,
24,NON-CURRENT ASSETS,,,,acc,,,
25,Tangible Assets,7363.87,6696.03,6638.27,acc,6976.89,7035.18,
26,Intangible Assets,144.25,49.95,45.98,acc,34.27,37.42,
27,Capital Work-In-Progress,1684.00,1245.04,548.11,acc,445.67,397.78,
28,Fixed Assets,9192.12,7991.02,7232.36,acc,7456.83,7470.38,
29,Non-Current Investments,163.31,149.55,129.27,acc,116.18,104.10,
30,Deferred Tax Assets [Net],0.00,0.00,0.00,acc,0.00,0.00,
31,Long Term Loans And Advances,8.86,10.02,135.91,acc,143.76,169.14,
32,Other Non-Current Assets,2920.56,2515.10,2243.87,acc,1869.07,1612.32,
33,Total Non-Current Assets,12288.62,10669.46,9751.60,acc,9601.41,9371.51,
34,CURRENT ASSETS,,,,acc,,,
35,Current Investments,0.00,0.00,0.00,acc,0.00,0.00,
36,Inventories,1624.20,1273.91,901.27,acc,1141.93,1679.39,
37,Trade Receivables,869.24,489.02,451.41,acc,626.65,867.37,
38,Cash And Cash Equivalents,414.71,7523.71,6005.70,acc,4647.73,3096.98,
39,Short Term Loans And Advances,5.76,6.60,58.99,acc,29.02,77.30,
40,OtherCurrentAssets,5341.24,1076.14,1031.26,acc,1089.24,963.40,
41,Total Current Assets,8255.15,10369.38,8448.63,acc,7534.57,6684.44,
42,Total Assets,20543.77,21038.84,18200.23,acc,17135.98,16055.95,
43,OTHER ADDITIONAL INFORMATION,,,,acc,,,
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,acc,,,
45,Contingent Liabilities,4145.82,3842.58,3862.59,acc,2670.09,2328.96,
46,BONUS DETAILS,,,,acc,,,
47,Bonus Equity Share Capital,91.95,91.95,91.95,acc,91.95,91.95,
48,NON-CURRENT INVESTMENTS,,,,acc,,,
49,Non-Current Investments Quoted Market Value,0.00,0.00,0.00,acc,0.00,0.00,
50,Non-Current Investments Unquoted Book Value,18.40,18.40,8.20,acc,3.70,3.70,
51,CURRENT INVESTMENTS,,,,acc,,,
52,Current Investments Quoted Market Value,0.00,0.00,0.00,acc,0.00,0.00,
53,Current Investments Unquoted Book Value,0.00,0.00,0.00,acc,0.00,0.00,
0,Balance Sheet of AU Small Finance Bank (in Rs. Cr.),Mar 17,Mar 16,Mar 15,ausmallfinancebank,Mar 14,,
1,,12 mths,12 mths,12 mths,ausmallfinancebank,12 mths,,
2,EQUITIES AND LIABILITIES,,,,ausmallfinancebank,,,
3,SHAREHOLDER'S FUNDS,,,,ausmallfinancebank,,,
4,Equity Share Capital,0.00,44.08,44.08,ausmallfinancebank,42.96,,
5,Total Share Capital,0.00,44.08,44.08,ausmallfinancebank,42.96,,
