,0,1,2,3,4,5,6,Year,Stock
0,Profit & Loss account of Astral Limited (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2018,astrallimited
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2018,astrallimited
2,INCOME,,,,,,,2018,astrallimited
3,Revenue From Operations [Gross],5145.10,4383.90,3169.90,2571.40,2501.26,,2018,astrallimited
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,,2018,astrallimited
5,Revenue From Operations [Net],5145.10,4383.90,3169.90,2571.40,2501.26,,2018,astrallimited
6,Total Operating Revenues,5158.50,4394.00,3176.30,2577.90,2507.29,,2018,astrallimited
7,Other Income,26.70,34.90,25.10,12.10,15.44,,2018,astrallimited
8,Total Revenue,5185.20,4428.90,3201.40,2590.00,2522.73,,2018,astrallimited
9,EXPENSES,,,,,,,2018,astrallimited
10,Cost Of Materials Consumed,3362.20,3030.00,1898.10,1642.90,1650.03,,2018,astrallimited
11,Purchase Of Stock-In Trade,60.40,31.40,21.60,22.70,39.73,,2018,astrallimited
12,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,,2018,astrallimited
13,Changes In Inventories Of FGWIP And Stock In Trade,12.10,-133.40,49.20,-69.90,-42.07,,2018,astrallimited
14,Employee Benefit Expenses,319.30,245.30,191.00,175.20,139.13,,2018,astrallimited
15,Finance Costs,40.00,12.90,13.10,39.40,31.96,,2018,astrallimited
16,Depreciation And Amortisation Expenses,178.10,126.90,116.50,107.90,81.43,,2018,astrallimited
17,Other Expenses,594.60,465.40,371.90,364.10,335.54,,2018,astrallimited
18,Total Expenses,4566.70,3778.50,2661.40,2282.30,2235.75,,2018,astrallimited
19,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",618.50,650.40,540.00,307.70,286.99,,2018,astrallimited
20,Exceptional Items,-1.80,0.00,0.00,0.00,0.00,,2018,astrallimited
21,Profit/Loss Before Tax,616.70,650.40,540.00,307.70,286.99,,2018,astrallimited
22,Tax Expenses-Continued Operations,,,,,,,2018,astrallimited
23,Current Tax,165.90,158.30,136.60,70.50,74.42,,2018,astrallimited
24,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,,2018,astrallimited
25,Deferred Tax,-10.20,-0.20,-11.80,-14.00,11.66,,2018,astrallimited
26,Other Direct Taxes,0.00,0.00,0.00,0.00,0.00,,2018,astrallimited
27,Total Tax Expenses,155.70,158.10,124.80,56.50,86.08,,2018,astrallimited
28,Profit/Loss After Tax And Before ExtraOrdinary Items,461.00,492.30,415.20,251.20,200.91,,2018,astrallimited
29,Profit/Loss From Continuing Operations,461.00,492.30,415.20,251.20,200.91,,2018,astrallimited
30,Profit/Loss For The Period,474.00,492.30,415.20,251.20,200.91,,2018,astrallimited
31,Minority Interest,-15.90,-6.60,-3.80,-1.70,-1.53,,2018,astrallimited
32,Consolidated Profit/Loss After MI And Associates,456.60,483.80,404.40,247.90,195.81,,2018,astrallimited
33,OTHER ADDITIONAL INFORMATION,,,,,,,2018,astrallimited
34,EARNINGS PER SHARE,,,,,,,2018,astrallimited
35,Basic EPS (Rs.),17.00,24.00,20.00,16.00,16.00,,2018,astrallimited
36,Diluted EPS (Rs.),17.00,24.00,20.00,16.00,16.00,,2018,astrallimited
37,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,,2018,astrallimited
38,Equity Share Dividend,60.30,45.20,15.10,24.00,9.39,,2018,astrallimited
39,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,,2018,astrallimited
0,Profit & Loss account of Astral Limited (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2019,astrallimited
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2019,astrallimited
2,INCOME,,,,,,,2019,astrallimited
3,Revenue From Operations [Gross],5145.10,4383.90,3169.90,2571.40,2501.26,,2019,astrallimited
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,,2019,astrallimited
5,Revenue From Operations [Net],5145.10,4383.90,3169.90,2571.40,2501.26,,2019,astrallimited
6,Total Operating Revenues,5158.50,4394.00,3176.30,2577.90,2507.29,,2019,astrallimited
7,Other Income,26.70,34.90,25.10,12.10,15.44,,2019,astrallimited
8,Total Revenue,5185.20,4428.90,3201.40,2590.00,2522.73,,2019,astrallimited
9,EXPENSES,,,,,,,2019,astrallimited
10,Cost Of Materials Consumed,3362.20,3030.00,1898.10,1642.90,1650.03,,2019,astrallimited
11,Purchase Of Stock-In Trade,60.40,31.40,21.60,22.70,39.73,,2019,astrallimited
12,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,,2019,astrallimited
13,Changes In Inventories Of FGWIP And Stock In Trade,12.10,-133.40,49.20,-69.90,-42.07,,2019,astrallimited
14,Employee Benefit Expenses,319.30,245.30,191.00,175.20,139.13,,2019,astrallimited
15,Finance Costs,40.00,12.90,13.10,39.40,31.96,,2019,astrallimited
16,Depreciation And Amortisation Expenses,178.10,126.90,116.50,107.90,81.43,,2019,astrallimited
17,Other Expenses,594.60,465.40,371.90,364.10,335.54,,2019,astrallimited
18,Total Expenses,4566.70,3778.50,2661.40,2282.30,2235.75,,2019,astrallimited
19,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",618.50,650.40,540.00,307.70,286.99,,2019,astrallimited
20,Exceptional Items,-1.80,0.00,0.00,0.00,0.00,,2019,astrallimited
21,Profit/Loss Before Tax,616.70,650.40,540.00,307.70,286.99,,2019,astrallimited
22,Tax Expenses-Continued Operations,,,,,,,2019,astrallimited
23,Current Tax,165.90,158.30,136.60,70.50,74.42,,2019,astrallimited
24,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,,2019,astrallimited
25,Deferred Tax,-10.20,-0.20,-11.80,-14.00,11.66,,2019,astrallimited
26,Other Direct Taxes,0.00,0.00,0.00,0.00,0.00,,2019,astrallimited
27,Total Tax Expenses,155.70,158.10,124.80,56.50,86.08,,2019,astrallimited
28,Profit/Loss After Tax And Before ExtraOrdinary Items,461.00,492.30,415.20,251.20,200.91,,2019,astrallimited
29,Profit/Loss From Continuing Operations,461.00,492.30,415.20,251.20,200.91,,2019,astrallimited
30,Profit/Loss For The Period,474.00,492.30,415.20,251.20,200.91,,2019,astrallimited
31,Minority Interest,-15.90,-6.60,-3.80,-1.70,-1.53,,2019,astrallimited
32,Consolidated Profit/Loss After MI And Associates,456.60,483.80,404.40,247.90,195.81,,2019,astrallimited
33,OTHER ADDITIONAL INFORMATION,,,,,,,2019,astrallimited
34,EARNINGS PER SHARE,,,,,,,2019,astrallimited
35,Basic EPS (Rs.),17.00,24.00,20.00,16.00,16.00,,2019,astrallimited
36,Diluted EPS (Rs.),17.00,24.00,20.00,16.00,16.00,,2019,astrallimited
37,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,,2019,astrallimited
38,Equity Share Dividend,60.30,45.20,15.10,24.00,9.39,,2019,astrallimited
39,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,,2019,astrallimited
0,Profit & Loss account of Astral Limited (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2020,astrallimited
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2020,astrallimited
2,INCOME,,,,,,,2020,astrallimited
3,Revenue From Operations [Gross],5145.10,4383.90,3169.90,2571.40,2501.26,,2020,astrallimited
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,,2020,astrallimited
5,Revenue From Operations [Net],5145.10,4383.90,3169.90,2571.40,2501.26,,2020,astrallimited
6,Total Operating Revenues,5158.50,4394.00,3176.30,2577.90,2507.29,,2020,astrallimited
7,Other Income,26.70,34.90,25.10,12.10,15.44,,2020,astrallimited
8,Total Revenue,5185.20,4428.90,3201.40,2590.00,2522.73,,2020,astrallimited
9,EXPENSES,,,,,,,2020,astrallimited
10,Cost Of Materials Consumed,3362.20,3030.00,1898.10,1642.90,1650.03,,2020,astrallimited
11,Purchase Of Stock-In Trade,60.40,31.40,21.60,22.70,39.73,,2020,astrallimited
12,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,,2020,astrallimited
13,Changes In Inventories Of FGWIP And Stock In Trade,12.10,-133.40,49.20,-69.90,-42.07,,2020,astrallimited
14,Employee Benefit Expenses,319.30,245.30,191.00,175.20,139.13,,2020,astrallimited
15,Finance Costs,40.00,12.90,13.10,39.40,31.96,,2020,astrallimited
16,Depreciation And Amortisation Expenses,178.10,126.90,116.50,107.90,81.43,,2020,astrallimited
17,Other Expenses,594.60,465.40,371.90,364.10,335.54,,2020,astrallimited
18,Total Expenses,4566.70,3778.50,2661.40,2282.30,2235.75,,2020,astrallimited
19,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",618.50,650.40,540.00,307.70,286.99,,2020,astrallimited
20,Exceptional Items,-1.80,0.00,0.00,0.00,0.00,,2020,astrallimited
21,Profit/Loss Before Tax,616.70,650.40,540.00,307.70,286.99,,2020,astrallimited
22,Tax Expenses-Continued Operations,,,,,,,2020,astrallimited
23,Current Tax,165.90,158.30,136.60,70.50,74.42,,2020,astrallimited
24,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,,2020,astrallimited
25,Deferred Tax,-10.20,-0.20,-11.80,-14.00,11.66,,2020,astrallimited
26,Other Direct Taxes,0.00,0.00,0.00,0.00,0.00,,2020,astrallimited
27,Total Tax Expenses,155.70,158.10,124.80,56.50,86.08,,2020,astrallimited
28,Profit/Loss After Tax And Before ExtraOrdinary Items,461.00,492.30,415.20,251.20,200.91,,2020,astrallimited
29,Profit/Loss From Continuing Operations,461.00,492.30,415.20,251.20,200.91,,2020,astrallimited
30,Profit/Loss For The Period,474.00,492.30,415.20,251.20,200.91,,2020,astrallimited
31,Minority Interest,-15.90,-6.60,-3.80,-1.70,-1.53,,2020,astrallimited
32,Consolidated Profit/Loss After MI And Associates,456.60,483.80,404.40,247.90,195.81,,2020,astrallimited
33,OTHER ADDITIONAL INFORMATION,,,,,,,2020,astrallimited
34,EARNINGS PER SHARE,,,,,,,2020,astrallimited
35,Basic EPS (Rs.),17.00,24.00,20.00,16.00,16.00,,2020,astrallimited
36,Diluted EPS (Rs.),17.00,24.00,20.00,16.00,16.00,,2020,astrallimited
37,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,,2020,astrallimited
38,Equity Share Dividend,60.30,45.20,15.10,24.00,9.39,,2020,astrallimited
39,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,,2020,astrallimited
0,Profit & Loss account of Astral Limited (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2021,astrallimited
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2021,astrallimited
2,INCOME,,,,,,,2021,astrallimited
3,Revenue From Operations [Gross],5145.10,4383.90,3169.90,2571.40,2501.26,,2021,astrallimited
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,,2021,astrallimited
5,Revenue From Operations [Net],5145.10,4383.90,3169.90,2571.40,2501.26,,2021,astrallimited
6,Total Operating Revenues,5158.50,4394.00,3176.30,2577.90,2507.29,,2021,astrallimited
7,Other Income,26.70,34.90,25.10,12.10,15.44,,2021,astrallimited
8,Total Revenue,5185.20,4428.90,3201.40,2590.00,2522.73,,2021,astrallimited
9,EXPENSES,,,,,,,2021,astrallimited
10,Cost Of Materials Consumed,3362.20,3030.00,1898.10,1642.90,1650.03,,2021,astrallimited
11,Purchase Of Stock-In Trade,60.40,31.40,21.60,22.70,39.73,,2021,astrallimited
12,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,,2021,astrallimited
13,Changes In Inventories Of FGWIP And Stock In Trade,12.10,-133.40,49.20,-69.90,-42.07,,2021,astrallimited
14,Employee Benefit Expenses,319.30,245.30,191.00,175.20,139.13,,2021,astrallimited
15,Finance Costs,40.00,12.90,13.10,39.40,31.96,,2021,astrallimited
16,Depreciation And Amortisation Expenses,178.10,126.90,116.50,107.90,81.43,,2021,astrallimited
17,Other Expenses,594.60,465.40,371.90,364.10,335.54,,2021,astrallimited
18,Total Expenses,4566.70,3778.50,2661.40,2282.30,2235.75,,2021,astrallimited
19,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",618.50,650.40,540.00,307.70,286.99,,2021,astrallimited
20,Exceptional Items,-1.80,0.00,0.00,0.00,0.00,,2021,astrallimited
21,Profit/Loss Before Tax,616.70,650.40,540.00,307.70,286.99,,2021,astrallimited
22,Tax Expenses-Continued Operations,,,,,,,2021,astrallimited
23,Current Tax,165.90,158.30,136.60,70.50,74.42,,2021,astrallimited
24,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,,2021,astrallimited
25,Deferred Tax,-10.20,-0.20,-11.80,-14.00,11.66,,2021,astrallimited
26,Other Direct Taxes,0.00,0.00,0.00,0.00,0.00,,2021,astrallimited
27,Total Tax Expenses,155.70,158.10,124.80,56.50,86.08,,2021,astrallimited
28,Profit/Loss After Tax And Before ExtraOrdinary Items,461.00,492.30,415.20,251.20,200.91,,2021,astrallimited
29,Profit/Loss From Continuing Operations,461.00,492.30,415.20,251.20,200.91,,2021,astrallimited
30,Profit/Loss For The Period,474.00,492.30,415.20,251.20,200.91,,2021,astrallimited
31,Minority Interest,-15.90,-6.60,-3.80,-1.70,-1.53,,2021,astrallimited
32,Consolidated Profit/Loss After MI And Associates,456.60,483.80,404.40,247.90,195.81,,2021,astrallimited
33,OTHER ADDITIONAL INFORMATION,,,,,,,2021,astrallimited
34,EARNINGS PER SHARE,,,,,,,2021,astrallimited
35,Basic EPS (Rs.),17.00,24.00,20.00,16.00,16.00,,2021,astrallimited
36,Diluted EPS (Rs.),17.00,24.00,20.00,16.00,16.00,,2021,astrallimited
37,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,,2021,astrallimited
38,Equity Share Dividend,60.30,45.20,15.10,24.00,9.39,,2021,astrallimited
39,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,,2021,astrallimited
0,Profit & Loss account of Astral Limited (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,2022,astrallimited
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,2022,astrallimited
2,INCOME,,,,,,,2022,astrallimited
3,Revenue From Operations [Gross],5145.10,4383.90,3169.90,2571.40,2501.26,,2022,astrallimited
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,,2022,astrallimited
5,Revenue From Operations [Net],5145.10,4383.90,3169.90,2571.40,2501.26,,2022,astrallimited
6,Total Operating Revenues,5158.50,4394.00,3176.30,2577.90,2507.29,,2022,astrallimited
7,Other Income,26.70,34.90,25.10,12.10,15.44,,2022,astrallimited
8,Total Revenue,5185.20,4428.90,3201.40,2590.00,2522.73,,2022,astrallimited
9,EXPENSES,,,,,,,2022,astrallimited
10,Cost Of Materials Consumed,3362.20,3030.00,1898.10,1642.90,1650.03,,2022,astrallimited
11,Purchase Of Stock-In Trade,60.40,31.40,21.60,22.70,39.73,,2022,astrallimited
12,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,,2022,astrallimited
13,Changes In Inventories Of FGWIP And Stock In Trade,12.10,-133.40,49.20,-69.90,-42.07,,2022,astrallimited
14,Employee Benefit Expenses,319.30,245.30,191.00,175.20,139.13,,2022,astrallimited
15,Finance Costs,40.00,12.90,13.10,39.40,31.96,,2022,astrallimited
16,Depreciation And Amortisation Expenses,178.10,126.90,116.50,107.90,81.43,,2022,astrallimited
17,Other Expenses,594.60,465.40,371.90,364.10,335.54,,2022,astrallimited
18,Total Expenses,4566.70,3778.50,2661.40,2282.30,2235.75,,2022,astrallimited
19,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",618.50,650.40,540.00,307.70,286.99,,2022,astrallimited
20,Exceptional Items,-1.80,0.00,0.00,0.00,0.00,,2022,astrallimited
21,Profit/Loss Before Tax,616.70,650.40,540.00,307.70,286.99,,2022,astrallimited
22,Tax Expenses-Continued Operations,,,,,,,2022,astrallimited
23,Current Tax,165.90,158.30,136.60,70.50,74.42,,2022,astrallimited
24,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,,2022,astrallimited
