,0,1,2,3,4,5,6,Stock
0,Profit & Loss account of Astral Limited (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,astrallimited
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,astrallimited
2,INCOME,,,,,,,astrallimited
3,Revenue From Operations [Gross],5145.10,4383.90,3169.90,2571.40,2501.26,,astrallimited
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,,astrallimited
5,Revenue From Operations [Net],5145.10,4383.90,3169.90,2571.40,2501.26,,astrallimited
6,Total Operating Revenues,5158.50,4394.00,3176.30,2577.90,2507.29,,astrallimited
7,Other Income,26.70,34.90,25.10,12.10,15.44,,astrallimited
8,Total Revenue,5185.20,4428.90,3201.40,2590.00,2522.73,,astrallimited
9,EXPENSES,,,,,,,astrallimited
10,Cost Of Materials Consumed,3362.20,3030.00,1898.10,1642.90,1650.03,,astrallimited
11,Purchase Of Stock-In Trade,60.40,31.40,21.60,22.70,39.73,,astrallimited
12,Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,,astrallimited
13,Changes In Inventories Of FGWIP And Stock In Trade,12.10,-133.40,49.20,-69.90,-42.07,,astrallimited
14,Employee Benefit Expenses,319.30,245.30,191.00,175.20,139.13,,astrallimited
15,Finance Costs,40.00,12.90,13.10,39.40,31.96,,astrallimited
16,Depreciation And Amortisation Expenses,178.10,126.90,116.50,107.90,81.43,,astrallimited
17,Other Expenses,594.60,465.40,371.90,364.10,335.54,,astrallimited
18,Total Expenses,4566.70,3778.50,2661.40,2282.30,2235.75,,astrallimited
19,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",618.50,650.40,540.00,307.70,286.99,,astrallimited
20,Exceptional Items,-1.80,0.00,0.00,0.00,0.00,,astrallimited
21,Profit/Loss Before Tax,616.70,650.40,540.00,307.70,286.99,,astrallimited
22,Tax Expenses-Continued Operations,,,,,,,astrallimited
23,Current Tax,165.90,158.30,136.60,70.50,74.42,,astrallimited
24,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,,astrallimited
25,Deferred Tax,-10.20,-0.20,-11.80,-14.00,11.66,,astrallimited
26,Other Direct Taxes,0.00,0.00,0.00,0.00,0.00,,astrallimited
27,Total Tax Expenses,155.70,158.10,124.80,56.50,86.08,,astrallimited
28,Profit/Loss After Tax And Before ExtraOrdinary Items,461.00,492.30,415.20,251.20,200.91,,astrallimited
29,Profit/Loss From Continuing Operations,461.00,492.30,415.20,251.20,200.91,,astrallimited
30,Profit/Loss For The Period,474.00,492.30,415.20,251.20,200.91,,astrallimited
31,Minority Interest,-15.90,-6.60,-3.80,-1.70,-1.53,,astrallimited
32,Consolidated Profit/Loss After MI And Associates,456.60,483.80,404.40,247.90,195.81,,astrallimited
33,OTHER ADDITIONAL INFORMATION,,,,,,,astrallimited
34,EARNINGS PER SHARE,,,,,,,astrallimited
35,Basic EPS (Rs.),17.00,24.00,20.00,16.00,16.00,,astrallimited
36,Diluted EPS (Rs.),17.00,24.00,20.00,16.00,16.00,,astrallimited
37,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,,,astrallimited
38,Equity Share Dividend,60.30,45.20,15.10,24.00,9.39,,astrallimited
39,Tax On Dividend,0.00,0.00,0.00,0.00,0.00,,astrallimited
0,Profit & Loss account of Aarti Industries (in Rs. Cr.),Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,,aartiindustries
1,,12 mths,12 mths,12 mths,12 mths,12 mths,,aartiindustries
2,INCOME,,,,,,,aartiindustries
3,Revenue From Operations [Gross],7156.20,7017.08,4822.40,4539.63,4659.49,,aartiindustries
4,Less: Excise/Sevice Tax/Other Levies,664.04,919.35,517.18,434.38,0.00,,aartiindustries
5,Revenue From Operations [Net],6492.16,6097.73,4305.22,4105.25,4659.49,,aartiindustries
6,Total Operating Revenues,6618.58,6999.96,4506.10,4186.31,4705.51,,aartiindustries
7,Other Income,0.86,0.80,0.70,8.84,2.10,,aartiindustries
8,Total Revenue,6619.44,7000.76,4506.80,4195.15,4707.61,,aartiindustries
9,EXPENSES,,,,,,,aartiindustries
10,Cost Of Materials Consumed,3462.03,3268.59,1937.56,1780.92,2570.51,,aartiindustries
11,Purchase Of Stock-In Trade,313.94,286.51,244.24,274.65,183.47,,aartiindustries
12,Operating And Direct Expenses,852.95,900.30,734.39,612.91,544.88,,aartiindustries
13,Changes In Inventories Of FGWIP And Stock In Trade,65.70,-261.28,-53.25,0.75,-59.40,,aartiindustries
14,Employee Benefit Expenses,385.33,442.08,371.38,305.22,242.82,,aartiindustries
15,Finance Costs,168.28,114.29,86.37,124.78,182.54,,aartiindustries
16,Depreciation And Amortisation Expenses,310.45,288.52,231.31,185.21,162.68,,aartiindustries
17,Other Expenses,449.66,434.95,290.25,234.53,258.14,,aartiindustries
18,Total Expenses,6008.34,5473.96,3842.25,3518.97,4085.64,,aartiindustries
19,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",611.10,1526.80,664.55,676.18,621.97,,aartiindustries
20,Exceptional Items,0.00,0.00,0.00,0.00,0.00,,aartiindustries
21,Profit/Loss Before Tax,611.10,1526.80,664.55,676.18,621.97,,aartiindustries
22,Tax Expenses-Continued Operations,,,,,,,aartiindustries
23,Current Tax,107.35,268.12,116.03,118.13,136.65,,aartiindustries
24,Less: MAT Credit Entitlement,40.92,75.88,9.80,7.09,38.79,,aartiindustries
25,Deferred Tax,15.96,27.13,23.10,18.00,21.99,,aartiindustries
